Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,2,Denny Hulme,Brabham-Repco,15,2:05'55.7,2,9
2,1,Jack Brabham,Brabham-Repco,15,+ 38.5,7,6
3,8,Chris Amon,Ferrari ,15,+ 39.0,8,4
4,7,John Surtees,Honda,15,+ 2'25.7,6,3
5,16,Jo Bonnier,Cooper-Maserati ,15,+ 8'42.1,16,2
6,15,Guy  Ligier ,Brabham-Repco,14,+ 1 Lap,17,1
7,18,Chris   Irwin,BRM ,13,+ 2 Laps,15,
8,6,Pedro Rodriguez,Cooper-Maserati ,13,+ 2 Laps,10,
Ret,9,Dan Gurney,Eagle-Weslake,12,Halfshaft,4,
Ret,14,Jo Siffert,Cooper-Maserati ,12,Fuel pump,12,
Ret,4,Graham Hill,Lotus-Ford,8,Suspension,13,
Ret,11,Jackie Stewart,BRM ,5,Differential,3,
Ret,3,Jim Clark,Lotus-Ford,4,Suspension,1,
Ret,5,Jochen Rindt,Cooper-Maserati ,4,Radiator,23,
Ret,10,Bruce McLaren,Eagle-Weslake,3,Oil leak,5,
Ret,12,Mike Spence,BRM ,3,Differential,11,
