Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,5,Jim Clark,Lotus-Ford,108,2:03'13.2,2,9
2,6,Graham Hill,Lotus-Ford,108,+ 6.3,1,6
3,2,Denny Hulme,Brabham-Repco,107,+ 1 Lap,6,4
4,15,Jo Siffert,Cooper-Maserati ,106,+ 2 Laps,12,3
5,1,Jack Brabham,Brabham-Repco,104,+ 4 Laps,5,2
6,16,Jo Bonnier,Cooper-Maserati ,101,+ 7 Laps,15,1
7,22,Jean Pierre  Beltoise,Matra-Ford,101,+ 7 Laps,18,
Ret,3,John Surtees,Honda,96,Alternator,11,
Ret,9,Chris Amon,Ferrari ,95,Engine,4,
Ret,7,Jackie Stewart,BRM ,72,Injection,10,
Ret,21,Jacky Ickx,Cooper-Maserati ,45,Overheating,16,
Ret,19,Guy  Ligier ,Brabham-Repco,43,Engine,17,
Ret,17,Chris   Irwin,BRM ,41,Engine,14,
Ret,8,Mike Spence,BRM ,35,Engine,13,
Ret,4,Jochen Rindt,Cooper-Maserati ,33,Engine,8,
Ret,11,Dan Gurney,Eagle-Weslake,24,Suspension,3,
Ret,14,Bruce McLaren,McLaren-BRM,16,Water leak,9,
Ret,18,Moises Solana,Lotus-Ford,7,Ignition,7,
