Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,6,Dan Gurney,Brabham-Climax,65,2:09'50.32,2,9
2,7,John Surtees,Ferrari ,65,+ 1'08.94,4,6
3,8,Lorenzo Bandini,Ferrari ,65,+ 1'09.63,3,4
4,2,Mike Spence,Lotus-Climax,65,+ 1'21.86,5,3
5,1,Jim Clark,Lotus-Climax,64,Engine,1,2
6,18,Pedro Rodriguez,Ferrari ,64,+ 1 Lap,9,1
7,9,Bruce McLaren,Cooper-Climax ,64,+ 1 Lap,10,
8,4,Richie Ginther,BRM ,64,+ 1 Lap,11,
9,10,Phil Hill,Cooper-Climax ,63,Engine,15,
10,17,Moises Solana,Lotus-Climax,63,+ 2 Laps,14,
11,3,Graham Hill,BRM ,63,+ 2 Laps,6,
12,11,Innes Ireland,BRP-BRM,61,+ 4 Laps,16,
13,23,Hap  Sharp ,Brabham-BRM,60,+ 5 Laps,19,
14,15,Chris Amon,Lotus-BRM,46,Gearbox,12,
15,5,Jack Brabham,Brabham-Climax,44,Electrical,7,
16,14,Mike Hailwood,Lotus-BRM,12,Overheating,17,
17,22,Jo Siffert,Brabham-BRM,11,Fuel Pump,13,
18,16,Jo Bonnier,Brabham-Climax,9,Suspension,8,
19,12,Trevor  Taylor ,BRP-BRM,6,Overheating,18,
