Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,23,Jim Clark,Lotus-Climax,32,2:06'40.5,6,9
2,20,Bruce McLaren,Cooper-Climax ,32,+ 3.4,7,6
3,14,Jack Brabham,Brabham-Climax,32,+ 48.1,3,4
4,2,Richie Ginther,BRM ,32,+ 1'58.6,8,3
5,1,Graham Hill,BRM ,31,Fuel pump,2,2
6,15,Dan Gurney,Brabham-Climax,31,Out of fuel,1,1
7,4,Trevor  Taylor ,BRP-BRM,31,+ 1 Lap,12,
8,6,Giancarlo Baghetti,BRM ,31,+ 1 Lap,17,
9,24,Peter  Arundell ,Lotus-Climax,28,Overheating,4,
10,3,Innes Ireland,BRP-BRM,28,+ 4 Laps,16,
DSQ,29,Peter   Revson,Lotus-Climax,28,Disqualified,10,
Ret,17,Jo Siffert,Brabham-Climax,14,Engine,13,
Ret,21,Phil Hill,Cooper-Climax ,13,Engine,15,
Ret,11,Lorenzo Bandini,Ferrari ,12,Engine,9,
Ret,28,Andre Pilette,Scirocco -Climax,11,Engine,20,
Ret,16,Jo Bonnier,Brabham-Climax,8,Unwell,14,
Ret,10,John Surtees,Ferrari ,4,Engine,11,
Ret,27,Chris Amon,Lotus-BRM,3,Engine,5,
