Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,1,Michael Schumacher,Ferrari,57,1:28:34.875,1,10
2,2,Rubens Barrichello,Ferrari,57,+1.3 secs,2,8
3,9,Jenson Button,BAR-Honda,57,+26.6 secs,6,6
4,7,Jarno Trulli,Renault,57,+32.2 secs,7,5
5,10,Takuma Sato,BAR-Honda,57,+52.4 secs,5,4
6,8,Fernando Alonso,Renault,57,+53.1 secs,16,3
7,4,Ralf Schumacher,Williams-BMW,57,+58.1 secs,4,2
8,14,Mark Webber,Jaguar-Cosworth,56,+1 Lap,14,1
9,17,Olivier Panis,Toyota,56,+1 Lap,8,
10,16,Cristiano da Matta,Toyota,56,+1 Lap,9,
11,11,Giancarlo Fisichella,Sauber-Petronas,56,+1 Lap,11,
12,12,Felipe Massa,Sauber-Petronas,56,+1 Lap,13,
13,3,Juan Pablo Montoya,Williams-BMW,56,+1 Lap,3,
14,15,Christian Klien,Jaguar-Cosworth,56,+1 Lap,12,
15,18,Nick Heidfeld,Jordan-Ford,56,+1 Lap,18,
16,19,Giorgio Pantano,Jordan-Ford,55,+2 Laps,15,
17,20,Gianmaria Bruni,Minardi-Cosworth,52,+5 Laps,17,
Ret,5,David Coulthard,McLaren-Mercedes,50,Pneumatics,10,
Ret,21,Zsolt Baumgartner,Minardi-Cosworth,44,Engine,20,
Ret,6,Kimi Räikkönen,McLaren-Mercedes,7,Engine,19,
