Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,1,Michael Schumacher,Ferrari,73,1:40:29.914,2,10
2,2,Rubens Barrichello,Ferrari,73,+2.9 secs,1,8
3,10,Takuma Sato,BAR-Honda,73,+22.0 secs,3,6
4,7,Jarno Trulli,Renault,73,+34.5 secs,20,5
5,17,Olivier Panis,Toyota,73,+37.5 secs,8,4
6,6,Kimi Räikkönen,McLaren-Mercedes,72,+1 Lap,7,3
7,5,David Coulthard,McLaren-Mercedes,72,+1 Lap,12,2
8,21,Zsolt Baumgartner,Minardi-Cosworth,70,+3 Laps,19,1
9,11,Giancarlo Fisichella,Sauber-Petronas,65,+8 Laps,14,
Ret,14,Mark Webber,Jaguar-Cosworth,60,Engine,10,
DSQ,3,Juan Pablo Montoya,Williams-BMW,57,+16 Laps,5,
Ret,18,Nick Heidfeld,Jordan-Ford,40,Engine,16,
Ret,9,Jenson Button,BAR-Honda,26,Gearbox,4,
Ret,16,Cristiano da Matta,Toyota,17,Gearbox,11,
Ret,4,Ralf Schumacher,Williams-BMW,9,Accident,6,
Ret,8,Fernando Alonso,Renault,8,Accident,9,
Ret,15,Christian Klien,Jaguar-Cosworth,0,Accident,13,
Ret,12,Felipe Massa,Sauber-Petronas,0,Accident,15,
Ret,19,Giorgio Pantano,Jordan-Ford,0,Accident,17,
Ret,20,Gianmaria Bruni,Minardi-Cosworth,0,Accident,18,
