Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,3,Juan Pablo Montoya,Williams-BMW,71,1:28:01.451,2,10
2,6,Kimi Räikkönen,McLaren-Mercedes,71,+1.0 secs,3,8
3,2,Rubens Barrichello,Ferrari,71,+24.0 secs,1,6
4,8,Fernando Alonso,Renault,71,+48.9 secs,8,5
5,4,Ralf Schumacher,Williams-BMW,71,+49.7 secs,7,4
6,10,Takuma Sato,BAR-Honda,71,+50.2 secs,6,3
7,1,Michael Schumacher,Ferrari,71,+50.6 secs,18,2
8,12,Felipe Massa,Sauber-Petronas,71,+62.3 secs,4,1
9,11,Giancarlo Fisichella,Sauber-Petronas,71,+63.8 secs,10,
10,7,Jacques Villeneuve,Renault,70,+1 Lap,13,
11,5,David Coulthard,McLaren-Mercedes,70,+1 Lap,12,
12,16,Jarno Trulli,Toyota,70,+1 Lap,9,
13,17,Ricardo Zonta,Toyota,70,+1 Lap,14,
14,15,Christian Klien,Jaguar-Cosworth,69,+2 Laps,15,
15,19,Timo Glock,Jordan-Ford,69,+2 Laps,17,
16,21,Zsolt Baumgartner,Minardi-Cosworth,67,+4 Laps,19,
17,20,Gianmaria Bruni,Minardi-Cosworth,67,+4 Laps,20,
Ret,14,Mark Webber,Jaguar-Cosworth,23,Accident,11,
Ret,18,Nick Heidfeld,Jordan-Ford,15,Clutch,16,
Ret,9,Jenson Button,BAR-Honda,3,Engine,5,
