Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,2,Rubens Barrichello,Ferrari,53,1:15:18.448,1,10
2,1,Michael Schumacher,Ferrari,53,+1.3 secs,3,8
3,9,Jenson Button,BAR-Honda,53,+10.1 secs,6,6
4,10,Takuma Sato,BAR-Honda,53,+15.3 secs,5,5
5,3,Juan Pablo Montoya,Williams-BMW,53,+32.3 secs,2,4
6,5,David Coulthard,McLaren-Mercedes,53,+33.4 secs,10,3
7,4,Antonio Pizzonia,Williams-BMW,53,+33.7 secs,8,2
8,11,Giancarlo Fisichella,Sauber-Petronas,53,+35.4 secs,15,1
9,14,Mark Webber,Jaguar-Cosworth,53,+56.7 secs,12,
10,7,Jarno Trulli,Renault,53,+66.3 secs,9,
11,16,Ricardo Zonta,Toyota,53,+82.5 secs,11,
12,12,Felipe Massa,Sauber-Petronas,52,+1 Lap,16,
13,15,Christian Klien,Jaguar-Cosworth,52,+1 Lap,14,
14,18,Nick Heidfeld,Jordan-Ford,52,+1 Lap,20,
15,21,Zsolt Baumgartner,Minardi-Cosworth,50,+3 Laps,19,
Ret,8,Fernando Alonso,Renault,40,Spin,4,
Ret,19,Giorgio Pantano,Jordan-Ford,33,Accident,17,
Ret,20,Gianmaria Bruni,Minardi-Cosworth,29,Pitlane fire,18,
Ret,6,Kimi Räikkönen,McLaren-Mercedes,13,Engine,7,
Ret,17,Olivier Panis,Toyota,0,Accident,13,
