Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,2,Rubens Barrichello,Ferrari,56,1:29:12.420,1,10
2,9,Jenson Button,BAR-Honda,56,+1.0 secs,3,8
3,6,Kimi Räikkönen,McLaren-Mercedes,56,+1.4 secs,2,6
4,8,Fernando Alonso,Renault,56,+32.5 secs,6,5
5,3,Juan Pablo Montoya,Williams-BMW,56,+45.1 secs,10,4
6,10,Takuma Sato,BAR-Honda,56,+54.7 secs,18,3
7,11,Giancarlo Fisichella,Sauber-Petronas,56,+65.4 secs,7,2
8,12,Felipe Massa,Sauber-Petronas,56,+80.0 secs,4,1
9,5,David Coulthard,McLaren-Mercedes,56,+80.6 secs,9,
10,14,Mark Webber,Jaguar-Cosworth,55,+1 Lap,11,
11,7,Jacques Villeneuve,Renault,55,+1 Lap,12,
12,1,Michael Schumacher,Ferrari,55,+1 Lap,20,
13,18,Nick Heidfeld,Jordan-Ford,55,+1 Lap,14,
14,17,Olivier Panis,Toyota,55,+1 Lap,8,
15,19,Timo Glock,Jordan-Ford,55,+1 Lap,16,
16,21,Zsolt Baumgartner,Minardi-Cosworth,53,+3 Laps,19,
Ret,20,Gianmaria Bruni,Minardi-Cosworth,38,Mechanical,17,
Ret,4,Ralf Schumacher,Williams-BMW,37,Puncture,5,
Ret,16,Ricardo Zonta,Toyota,35,Transmission,13,
Ret,15,Christian Klien,Jaguar-Cosworth,11,Suspension,15,
