Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,8,Mika Hakkinen,McLaren-Mercedes,72,1:37'11.747,1,10
2,7,David Coulthard,McLaren-Mercedes,72,+1.102,2,6
3,3,Michael Schumacher,Ferrari,72,+1'00.550,4,4
4,6,Alexander Wurz,Benetton-Playlife,72,+1'07.453,5,3
5,2,Heinz-Harald Frentzen,Williams-Mecachrome,71,+1 Lap,3,2
6,5,Giancarlo Fisichella,Benetton-Playlife,71,+1 Lap,7,1
7,1,Jacques Villeneuve,Williams-Mecachrome,71,+1 Lap,10,
8,4,Eddie Irvine,Ferrari,71,+1 Lap,6,
9,14,Jean Alesi,Sauber-Petronas,71,+1 Lap,15,
10,19,Jan Magnussen,Stewart-Ford,70,+2 Laps,16,
11,15,Johnny Herbert,Sauber-Petronas,67,Physical,14,
DSQ,9,Damon Hill,Jordan-Mugen-Honda,70,Disqualified,11,
Ret,11,Olivier Panis,Prost-Peugeot,63,Engine,9,
Ret,18,Rubens Barrichello,Stewart-Ford,56,Gearbox,13,
Ret,20,Ricardo Rosset,Tyrrell-Ford,52,Gearbox,21,
Ret,23,Estaban Tuero,Minardi-Ford,44,Throttle,19,
Ret,16,Pedro Diniz,Arrows,26,Gearbox,22,
Ret,21,Toranosuke Takagi,Tyrrell-Ford,19,Engine,17,
Ret,17,Mika Salo,Arrows,18,Engine,20,
Ret,12,Jarno Trulli,Prost-Peugeot,17,Fuel Pump,12,
Ret,22,Shinji Nakano,Minardi-Ford,3,Spun off,18,
Ret,10,Ralf Schumacher,Jordan-Mugen-Honda,0,Spun off,8,
