Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,9,Damon Hill,Jordan-Mugen-Honda,44,1:43'47.407,3,10
2,10,Ralf Schumacher,Jordan-Mugen-Honda,44,+0.932,8,6
3,14,Jean Alesi,Sauber-Petronas,44,+7.240,10,4
4,2,Heinz-Harald Frentzen,Williams-Mecachrome,44,+32.243,9,3
5,16,Pedro Diniz,Arrows,44,+51.682,16,2
6,12,Jarno Trulli,Prost-Peugeot,42,+2 Laps,13,1
7,7,David Coulthard,McLaren-Mercedes,39,+5 Laps,2,
8,22,Shinji Nakano,Minardi-Ford,39,+5 Laps,21,
Ret,5,Giancarlo Fisichella,Benetton-Playlife,26,Collision,7,
Ret,3,Michael Schumacher,Ferrari,25,Collision,4,
Ret,4,Eddie Irvine,Ferrari,25,Spun off,5,
Ret,23,Estaban Tuero,Minardi-Ford,17,Gearbox,22,
Ret,1,Jacques Villeneuve,Williams-Mecachrome,16,Spun off,6,
Ret,21,Toranosuke Takagi,Tyrrell-Ford,10,Spun off,19,
Ret,19,Jos Verstappen,Stewart-Ford,8,Engine,17,
Ret,8,Mika Hakkinen,McLaren-Mercedes,0,Collision,1,
Ret,6,Alexander Wurz,Benetton-Playlife,0,Collision,11,
Ret,15,Johnny Herbert,Sauber-Petronas,0,Collision,12,
DNS,18,Rubens Barrichello,Stewart-Ford,0,Collision,15,
DNS,11,Olivier Panis,Prost-Peugeot,0,Collision,14,
DNS,17,Mika Salo,Arrows,0,Collision,18,
DNS,20,Ricardo Rosset,Tyrrell-Ford,0,Collision,20,
