Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,1,Sebastian Vettel,Red Bull Racing-Renault,44,1:26:44.893,1,25
2,2,Mark Webber,Red Bull Racing-Renault,44,+3.7 secs,3,18
3,4,Jenson Button,McLaren-Mercedes,44,+9.6 secs,13,15
4,5,Fernando Alonso,Ferrari,44,+13.0 secs,8,12
5,7,Michael Schumacher,Mercedes,44,+47.4 secs,24,10
6,8,Nico Rosberg,Mercedes,44,+48.6 secs,5,8
7,14,Adrian Sutil,Force India-Mercedes,44,+59.7 secs,15,6
8,6,Felipe Massa,Ferrari,44,+66.0 secs,4,4
9,10,Vitaly Petrov,Renault,44,+71.9 secs,10,2
10,12,Pastor Maldonado,Williams-Cosworth,44,+77.6 secs,21,1
11,15,Paul di Resta,Force India-Mercedes,44,+83.9 secs,17,
12,16,Kamui Kobayashi,Sauber-Ferrari,44,+91.9 secs,12,
13,9,Bruno Senna,Renault,44,+92.9 secs,7,
14,21,Jarno Trulli,Lotus-Renault,43,+1 Lap,18,
15,20,Heikki Kovalainen,Lotus-Renault,43,+1 Lap,16,
16,11,Rubens Barrichello,Williams-Cosworth,43,+1 Lap,14,
17,25,Jerome D'Ambrosio,Virgin-Cosworth,43,+1 Lap,20,
18,24,Timo Glock,Virgin-Cosworth,43,+1 Lap,19,
19,23,Vitantonio Liuzzi,HRT-Cosworth,43,+1 Lap,22,
Ret,17,Sergio Perez,Sauber-Ferrari,27,Rear axle,9,
Ret,22,Daniel Ricciardo,HRT-Cosworth,13,Mechanical,23,
Ret,3,Lewis Hamilton,McLaren-Mercedes,12,Accident,2,
Ret,18,Sebastien Buemi,STR-Ferrari,6,Accident damage,11,
Ret,19,Jaime Alguersuari,STR-Ferrari,0,Accident damage,6,
