Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,1,Mika Hakkinen,McLaren-Mercedes,53,1:31'18.785,2,10
2,3,Michael Schumacher,Ferrari,53,+5.015,1,6
3,4,Eddie Irvine,Ferrari,53,+1'35.688,5,4
4,8,Heinz-Harald Frentzen,Jordan-Mugen-Honda,53,+1'38.635,4,3
5,6,Ralf Schumacher,Williams-Supertec,53,+1'39.494,9,2
6,11,Jean Alesi,Sauber-Petronas,52,+1 Lap,10,1
7,17,Johnny Herbert,Stewart-Ford,52,+1 Lap,8,
8,16,Rubens Barrichello,Stewart-Ford,52,+1 Lap,13,
9,22,Jacques Villeneuve,BAR-Supertec,52,+1 Lap,11,
10,10,Alexander Wurz,Benetton-Playlife,52,+1 Lap,15,
11,12,Pedro Diniz,Sauber-Petronas,52,+1 Lap,17,
12,23,Ricardo Zonta,BAR-Supertec,52,+1 Lap,18,
13,14,Pedro de la Rosa,Arrows,51,+2 Laps,21,
14,9,Giancarlo Fisichella,Benetton-Playlife,47,Engine,14,
Ret,15,Toranosuke Takagi,Arrows,43,Gearbox,19,
Ret,20,Luca Badoer,Minardi-Ford,43,Engine,22,
Ret,2,David Coulthard,McLaren-Mercedes,39,Hydraulics,3,
Ret,21,Marc Gene,Minardi-Ford,31,Gearbox,20,
WD,7,Damon Hill,Jordan-Mugen-Honda,21,Withdrew,12,
Ret,18,Olivier Panis,Prost-Peugeot,19,Alternator,6,
Ret,19,Jarno Trulli,Prost-Peugeot,3,Engine,7,
Ret,5,Alessandro Zanardi,Williams-Supertec,0,Electrical,8,
