Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,4,Eddie Irvine,Ferrari,57,1:35'01.659,6,10
2,8,Heinz-Harald Frentzen,Jordan-Mugen-Honda,57,+1.027,5,6
3,6,Ralf Schumacher,Williams-Supertec,57,+7.012,8,4
4,9,Giancarlo Fisichella,Benetton-Playlife,57,+33.418,7,3
5,16,Rubens Barrichello,Stewart-Ford,57,+54.698,4,2
6,14,Pedro de la Rosa,Arrows,57,+1'24.317,18,1
7,15,Toranosuke Takagi,Arrows,57,+1'26.288,17,
8,3,Michael Schumacher,Ferrari,56,+1 Lap,3,
DNS,17,Johnny Herbert,Stewart-Ford,0,Fire,13,
Ret,23,Ricardo Zonta,BAR-Supertec,48,Gearbox,19,
Ret,20,Luca Badoer,Minardi-Ford,42,Gearbox,21,
Ret,10,Alexander Wurz,Benetton-Playlife,28,Suspension,10,
Ret,12,Pedro Diniz,Sauber-Petronas,27,Transmission,14,
Ret,21,Marc Gene,Minardi-Ford,25,Collision,22,
Ret,19,Jarno Trulli,Prost-Peugeot,25,Collision,12,
Ret,18,Olivier Panis,Prost-Peugeot,23,Wheel,20,
Ret,1,Mika Hakkinen,McLaren-Mercedes,21,Throttle,1,
Ret,5,Alessandro Zanardi,Williams-Supertec,20,Spun off,15,
Ret,2,David Coulthard,McLaren-Mercedes,13,Hydraulics,2,
Ret,22,Jacques Villeneuve,BAR-Supertec,13,Broken Wing,11,
Ret,7,Damon Hill,Jordan-Mugen-Honda,0,Collision,9,
Ret,11,Jean Alesi,Sauber-Petronas,0,Gearbox,16,
