Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,8,Heinz-Harald Frentzen,Jordan-Mugen-Honda,53,1:17'02.923,2,10
2,6,Ralf Schumacher,Williams-Supertec,53,+3.272,5,6
3,3,Mika Salo,Ferrari,53,+11.932,6,4
4,16,Rubens Barrichello,Stewart-Ford,53,+17.630,7,3
5,2,David Coulthard,McLaren-Mercedes,53,+18.142,3,2
6,4,Eddie Irvine,Ferrari,53,+27.402,8,1
7,5,Alessandro Zanardi,Williams-Supertec,53,+28.047,4,
8,22,Jacques Villeneuve,BAR-Supertec,53,+41.797,11,
9,11,Jean Alesi,Sauber-Petronas,53,+42.198,13,
10,7,Damon Hill,Jordan-Mugen-Honda,53,+56.259,9,
11,18,Olivier Panis,Prost-Peugeot,52,Engine,10,
Ret,17,Johnny Herbert,Stewart-Ford,40,Clutch,15,
Ret,15,Toranosuke Takagi,Arrows,35,Spun off,22,
Ret,14,Pedro de la Rosa,Arrows,35,Withdrew,21,
Ret,1,Mika Hakkinen,McLaren-Mercedes,29,Spun off,1,
Ret,19,Jarno Trulli,Prost-Peugeot,29,Overheating,12,
Ret,23,Ricardo Zonta,BAR-Supertec,25,Wheel Bearing,18,
Ret,20,Luca Badoer,Minardi-Ford,23,Collision,19,
Ret,10,Alexander Wurz,Benetton-Playlife,11,Electrical,14,
Ret,12,Pedro Diniz,Sauber-Petronas,1,Spun off,16,
Ret,9,Giancarlo Fisichella,Benetton-Playlife,1,Spun off,17,
Ret,21,Marc Gene,Minardi-Ford,0,Collision,20,
