Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,10,Juan Pablo Montoya,McLaren-Mercedes,53,1:14:28.659,1,10
2,5,Fernando Alonso,Renault,53,+2.4 secs,2,8
3,6,Giancarlo Fisichella,Renault,53,+17.9 secs,8,6
4,9,Kimi Räikkönen,McLaren-Mercedes,53,+22.7 secs,11,5
5,16,Jarno Trulli,Toyota,53,+33.7 secs,5,4
6,17,Ralf Schumacher,Toyota,53,+43.9 secs,9,3
7,8,Antonio Pizzonia,Williams-BMW,53,+44.6 secs,16,2
8,3,Jenson Button,BAR-Honda,53,+63.6 secs,3,1
9,12,Felipe Massa,Sauber-Petronas,53,+75.4 secs,15,
10,1,Michael Schumacher,Ferrari,53,+96.0 secs,6,
11,11,Jacques Villeneuve,Sauber-Petronas,52,+1 Lap,12,
12,2,Rubens Barrichello,Ferrari,52,+1 Lap,7,
13,15,Christian Klien,RBR-Cosworth,52,+1 Lap,13,
14,7,Mark Webber,Williams-BMW,52,+1 Lap,14,
15,14,David Coulthard,RBR-Cosworth,52,+1 Lap,10,
16,4,Takuma Sato,BAR-Honda,52,+1 Lap,4,
17,18,Tiago Monteiro,Jordan-Toyota,51,+2 Laps,17,
18,20,Robert Doornbos,Minardi-Cosworth,51,+2 Laps,18,
19,21,Christijan Albers,Minardi-Cosworth,51,+2 Laps,20,
20,19,Narain Karthikeyan,Jordan-Toyota,50,+3 Laps,19,
