Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,9,Kimi Räikkönen,McLaren-Mercedes,53,1:29:02.212,17,10
2,6,Giancarlo Fisichella,Renault,53,+1.6 secs,3,8
3,5,Fernando Alonso,Renault,53,+17.4 secs,16,6
4,7,Mark Webber,Williams-BMW,53,+22.2 secs,7,5
5,3,Jenson Button,BAR-Honda,53,+29.5 secs,2,4
6,14,David Coulthard,RBR-Cosworth,53,+31.6 secs,6,3
7,1,Michael Schumacher,Ferrari,53,+33.8 secs,14,2
8,17,Ralf Schumacher,Toyota,53,+49.5 secs,1,1
9,15,Christian Klien,RBR-Cosworth,53,+51.9 secs,4,
10,12,Felipe Massa,Sauber-Petronas,53,+57.5 secs,10,
11,2,Rubens Barrichello,Ferrari,53,+60.6 secs,9,
12,11,Jacques Villeneuve,Sauber-Petronas,53,+83.2 secs,8,
13,18,Tiago Monteiro,Jordan-Toyota,52,+1 Lap,20,
14,20,Robert Doornbos,Minardi-Cosworth,51,+2 Laps,15,
15,19,Narain Karthikeyan,Jordan-Toyota,51,+2 Lap,11,
16,21,Christijan Albers,Minardi-Cosworth,49,+4 Laps,13,
DSQ,4,Takuma Sato,BAR-Honda,52,+1 Lap,5,
Ret,8,Antonio Pizzonia,Williams-BMW,9,Spin,12,
Ret,16,Jarno Trulli,Toyota,9,Accident,19,
Ret,10,Juan Pablo Montoya,McLaren-Mercedes,0,Accident,18,
