Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,10,Juan Pablo Montoya,McLaren-Mercedes,71,1:29:20.574,2,10
2,9,Kimi Räikkönen,McLaren-Mercedes,71,+2.5 secs,5,8
3,5,Fernando Alonso,Renault,71,+24.8 secs,1,6
4,1,Michael Schumacher,Ferrari,71,+35.6 secs,7,5
5,6,Giancarlo Fisichella,Renault,71,+40.2 secs,3,4
6,2,Rubens Barrichello,Ferrari,71,+69.1 secs,9,3
7,3,Jenson Button,BAR-Honda,70,+1 Lap,4,2
8,17,Ralf Schumacher,Toyota,70,+1 Lap,10,1
9,15,Christian Klien,RBR-Cosworth,70,+1 Lap,6,
10,4,Takuma Sato,BAR-Honda,70,+1 Lap,19,
11,12,Felipe Massa,Sauber-Petronas,70,+1 Lap,8,
12,11,Jacques Villeneuve,Sauber-Petronas,70,+1 Lap,20,
13,16,Jarno Trulli,Toyota,69,+2 Laps,17,
14,21,Christijan Albers,Minardi-Cosworth,69,+2 Laps,16,
15,19,Narain Karthikeyan,Jordan-Toyota,68,+3 Laps,15,
Ret,18,Tiago Monteiro,Jordan-Toyota,55,Mechanical,11,
NC,7,Mark Webber,Williams-BMW,45,+26 Laps,12,
Ret,20,Robert Doornbos,Minardi-Cosworth,34,Engine,18,
Ret,8,Antonio Pizzonia,Williams-BMW,0,Accident,13,
Ret,14,David Coulthard,RBR-Cosworth,0,Accident,14,
