Grand Prix,Date,Winning Driver,Team,Laps,Time
Australia,16/03/2014,Nico Rosberg,Mercedes,57,1:32:58.710
Malaysia,30/03/2014,Lewis Hamilton,Mercedes,56,1:40:25.974
Bahrain,06/04/2014,Lewis Hamilton,Mercedes,57,1:39:42.743
China,20/04/2014,Lewis Hamilton,Mercedes,54,1:33:28.338
Spain,11/05/2014,Lewis Hamilton,Mercedes,66,1:41:05.155
Monaco,25/05/2014,Nico Rosberg,Mercedes,78,1:49:27.661
Canada,08/06/2014,Daniel Ricciardo,Red Bull Racing-Renault,70,1:39:12.830
Austria,22/06/2014,Nico Rosberg,Mercedes,71,1:27:54.976
Great Britain,06/07/2014,Lewis Hamilton,Mercedes,52,2:26:52.094
Germany,20/07/2014,Nico Rosberg,Mercedes,67,1:33:42.914
Hungary,27/07/2014,Daniel Ricciardo,Red Bull Racing-Renault,70,1:53:05.058
Belgium,24/08/2014,Daniel Ricciardo,Red Bull Racing-Renault,44,1:24:36.556
Italy,07/09/2014,Lewis Hamilton,Mercedes,53,1:19:10.236
Singapore,21/09/2014,Lewis Hamilton,Mercedes,60,2:00:04.795
Japan,05/10/2014,Lewis Hamilton,Mercedes,44,1:51:43.021
Russia,12/10/2014,Lewis Hamilton,Mercedes,53,1:31:50.744
United States,02/11/2014,Lewis Hamilton,Mercedes,56,1:40:04.785
Brazil,09/11/2014,Nico Rosberg,Mercedes,71,1:30:02.555
Abu Dhabi,23/11/2014,,,,
