Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,5,Damon Hill,Williams-Renault,45,1:21'43.417,1,10
2,3,Jean Alesi,Benetton-Renault,45,+11.452,5,6
3,6,Jacques Villeneuve,Williams-Renault,45,+33.9260,6,4
4,1,Michael Schumacher,Ferrari,45,+41.517,3,3
5,8,David Coulthard,McLaren-Mercedes,45,+42.196,7,2
6,11,Rubens Barrichello,Jordan-Peugeot,45,+1'42.099,9,1
7,9,Olivier Panis,Ligier-Mugen-Honda,45,+1'43.912,12,
8,15,Heinz-Harald Frentzen,Sauber-Ford,44,+1 Lap,13,
9,19,Mika Salo,Tyrrell-Yamaha,44,+1 Lap,15,
10,12,Martin Brundle,Jordan-Peugeot,44,+1 Lap,10,
11,16,Ricardo Rosset,Footwork-Hart,44,+1 Lap,19,
12,20,Pedro Lamy,Minardi-Ford,43,+2 Laps,18,
13,4,Gerhard Berger,Benetton-Renault,42,Engine,2,
Ret,2,Eddie Irvine,Ferrari,34,Engine,8,
Ret,14,Johnny Herbert,Sauber-Ford,25,Vibrations,14,
Ret,10,Pedro Diniz,Ligier-Mugen-Honda,19,Engine,11,
Ret,18,Ukyo Katayama,Tyrrell-Yamaha,19,Spun off,16,
Ret,7,Mika Hakkinen,McLaren-Mercedes,13,Gearbox,4,
Ret,17,Jos Verstappen,Footwork-Hart,0,Collision,17,
Ret,21,Giovanni Lavaggi,Minardi-Ford,0,Collision,17,
