Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,5,Rodger Ward,Watson-Offenhauser,200,3:40'49.20,6,8
2,16,Jim Rathmann,Watson-Offenhauser,200,+ 23.28,3,6
3,3,Johnny Thomson,Lesovsky-Offenhauser,200,+ 50.64,1,4
4,1,Tony  Bettenhausen,Epperly- Offenhauser ,200,+ 1'47.09,15,3
5,99,Paul Goldsmith,Epperly- Offenhauser ,200,+ 2'06.44,16,2
6,33,Johnny  Boyd,Epperly- Offenhauser ,200,+ 3'16.98,11,
7,37,Duane Carter,Kurtis Kraft-Offenhauser,200,+ 4'09.92,12,
8,19,Eddie Johnson,Kurtis Kraft-Offenhauser,200,+ 4'10.53,8,
9,45,Paul Russo,Kurtis Kraft-Offenhauser,200,+ 4'11.04,27,
10,10,A J  Foyt,Kuzma-Offenhauser,200,+ 4'14.48,17,
11,88,Gene Hartley,Kuzma-Offenhauser,200,+ 5'42.48,9,
12,74,Bob  Veith,Moore-Offenhauser ,200,+ 6'09.73,7,
13,89,Al  Herman,Dunn-Offenhauser,200,+ 6'40.40,23,
14,66,Jimmy  Daywalt,Kurtis Kraft-Offenhauser,200,+ 6'41.54,13,
15,71,Chuck  Arnold,Kurtis Kraft-Offenhauser,200,+ 8'19.86,31,
16,58,Jim  McWithey,Kurtis Kraft-Offenhauser,200,+ 11'41.69,33,
Ret,44,Eddie  Sachs,Kuzma-Offenhauser,182,Spun Off,2,
Ret,57,Al  Keller,Kuzma-Offenhauser,163,Engine,28,
Ret,64,Pat Flaherty,Watson-Offenhauser,162,Accident,18,
Ret,73,Dick Rathmann,Watson-Offenhauser,150,Fire,4,
Ret,53,Bill  Cheesbourg,Kuzma-Offenhauser,147,Magneto,12,
Ret,15,Don  Freeland,Kurtis Kraft-Offenhauser,136,Magneto,21,
Ret,49,Ray  Crawford,Elder-Offenhauser,115,Accident,32,
Ret,9,Don  Branson,Phillips-Offenhauser,112,Suspension,10,
Ret,65,Bob  Christie,Kurtis Kraft-Offenhauser,109,Engine,24,
Ret,48,Bobby  Grim,Kurtis Kraft-Offenhauser,85,Magneto,5,
Ret,24,Jack  Turner,Christensen-Offenhauser,47,Fuel leak,14,
Ret,7,Jud  Larson,Kurtis Kraft-Offenhauser,45,Accident,19,
Ret,87,Red  Amick,Kurtis Kraft-Offenhauser,45,Accident,26,
Ret,47,Chuck  Weyant,Kurtis Kraft-Offenhauser,45,Accident,29,
Ret,77,Mike  Magill,Sutton-Offenhauser,45,Accident,31,
Ret,8,Len  Sutton,Lesovsky-Offenhauser,34,Accident,22,
Ret,6,Jimmy Bryan,Epperly- Offenhauser ,1,Engine,20,
