Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,11,Giancarlo Fisichella,Jordan-Ford,54,1:31:17.748,8,10
2,6,Kimi Räikkönen,McLaren-Mercedes,54,+0.945,4,8
3,8,Fernando Alonso,Renault,54,+06.348,10,6
4,5,David Coulthard,McLaren-Mercedes,54,+08.096,2,5
5,10,Heinz-Harald Frentzen,Sauber-Petronas,54,+08.642,14,4
6,16,Jacques Villeneuve,BAR-Honda,54,+16.054,13,3
7,4,Ralf Schumacher,Williams-BMW,54,+38.526,6,2
8,7,Jarno Trulli,Renault,54,+45.927,5,1
Ret,14,Mark Webber,Jaguar-Cosworth,53,Accident,3,
10,21,Cristiano da Matta,Toyota,53,+1 Lap,18,
Ret,2,Rubens Barrichello,Ferrari,47,Fuel system,1,
Ret,17,Jenson Button,BAR-Honda,33,Accident,11,
Ret,19,Jos Verstappen,Minardi-Cosworth,31,Spin,19,
Ret,1,Michael Schumacher,Ferrari,27,Accident,7,
Ret,3,Juan Pablo Montoya,Williams-BMW,25,Accident,9,
Ret,15,Antonio Pizzonia,Jaguar-Cosworth,25,Accident,17,
Ret,20,Olivier Panis,Toyota,18,Collision,15,
Ret,12,Ralph Firman,Jordan-Ford,18,Suspension,16,
Ret,18,Justin Wilson,Minardi-Cosworth,16,Spin,20,
Ret,9,Nick Heidfeld,Sauber-Petronas,9,Oil system,12,
