Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,1,Michael Schumacher,Ferrari,69,1:24:04.888,1,10
2,6,Kimi Räikkönen,McLaren-Mercedes,69,+3.3 secs,2,8
3,2,Rubens Barrichello,Ferrari,69,+3.9 secs,5,6
4,17,Jenson Button,BAR-Honda,69,+42.2 secs,7,5
5,5,David Coulthard,McLaren-Mercedes,69,+59.7 secs,14,4
6,4,Ralf Schumacher,Williams-BMW,68,+1 Lap,10,3
7,14,Mark Webber,Jaguar-Cosworth,68,+1 Lap,17,2
8,7,Jarno Trulli,Renault,68,+1 Lap,6,1
9,15,Antonio Pizzonia,Jaguar-Cosworth,68,+1 Lap,8,
10,21,Cristiano da Matta,Toyota,68,+1 Lap,13,
11,12,Ralph Firman,Jordan-Ford,68,+1 Lap,16,
12,16,Jacques Villeneuve,BAR-Honda,68,+1 Lap,12,
13,18,Justin Wilson,Minardi-Cosworth,67,+2 Laps,18,
Ret,11,Giancarlo Fisichella,Jordan-Ford,60,Fuel system,9,
Ret,9,Nick Heidfeld,Sauber-Petronas,46,Engine,4,
Ret,8,Fernando Alonso,Renault,44,Engine,19,
Ret,3,Juan Pablo Montoya,Williams-BMW,32,Engine,3,
Ret,20,Olivier Panis,Toyota,6,Suspension,11,
Ret,10,Heinz-Harald Frentzen,Sauber-Petronas,0,Clutch,15,
Ret,19,Jos Verstappen,Minardi-Cosworth,0,Launch control,20,
