Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,2,Rubens Barrichello,Ferrari,53,1:25:11.743,1,10
2,6,Kimi Räikkönen,McLaren-Mercedes,53,+11.0 secs,8,8
3,5,David Coulthard,McLaren-Mercedes,53,+11.6 secs,7,6
4,17,Jenson Button,BAR-Honda,53,+33.1 secs,9,5
5,7,Jarno Trulli,Renault,53,+34.2 secs,20,4
6,16,Takuma Sato,BAR-Honda,53,+51.6 secs,13,3
7,21,Cristiano da Matta,Toyota,53,+56.7 secs,3,2
8,1,Michael Schumacher,Ferrari,53,+59.4 secs,14,1
9,9,Nick Heidfeld,Sauber-Petronas,53,+60.1 secs,11,
10,20,Olivier Panis,Toyota,53,+61.8 secs,4,
11,14,Mark Webber,Jaguar-Cosworth,53,+71.0 secs,6,
12,4,Ralf Schumacher,Williams-BMW,52,+1 Lap,19,
13,15,Justin Wilson,Jaguar-Cosworth,52,+1 Lap,10,
14,12,Ralph Firman,Jordan-Ford,51,+2 Laps,15,
15,19,Jos Verstappen,Minardi-Cosworth,51,+2 Laps,17,
16,18,Nicolas Kiesa,Minardi-Cosworth,50,+3 Laps,18,
Ret,11,Giancarlo Fisichella,Jordan-Ford,33,Out of fuel,16,
Ret,8,Fernando Alonso,Renault,17,Engine,5,
Ret,10,Heinz-Harald Frentzen,Sauber-Petronas,9,Engine,12,
Ret,3,Juan Pablo Montoya,Williams-BMW,9,Hydraulics,2,
