Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,1,Michael Schumacher,Ferrari,73,1:33:35.997,7,10
2,6,Kimi Räikkönen,McLaren-Mercedes,73,+18.2 secs,1,8
3,10,Heinz-Harald Frentzen,Sauber-Petronas,73,+37.9 secs,15,6
4,7,Jarno Trulli,Renault,73,+48.3 secs,10,5
5,9,Nick Heidfeld,Sauber-Petronas,73,+56.4 secs,13,4
6,3,Juan Pablo Montoya,Williams-BMW,72,+1 Lap,4,3
7,11,Giancarlo Fisichella,Jordan-Ford,72,+1 Lap,17,2
8,15,Justin Wilson,Jaguar-Cosworth,71,+2 Laps,16,1
9,21,Cristiano da Matta,Toyota,71,+2 Laps,9,
10,19,Jos Verstappen,Minardi-Cosworth,69,+4 Laps,19,
11,18,Nicolas Kiesa,Minardi-Cosworth,69,+4 Laps,20,
Ret,16,Jacques Villeneuve,BAR-Honda,63,Engine,12,
Ret,12,Ralph Firman,Jordan-Ford,48,Spin,18,
Ret,5,David Coulthard,McLaren-Mercedes,45,Gearbox,8,
Ret,8,Fernando Alonso,Renault,44,Engine,6,
Ret,17,Jenson Button,BAR-Honda,41,Engine,11,
Ret,20,Olivier Panis,Toyota,27,Spin,3,
Ret,14,Mark Webber,Jaguar-Cosworth,21,Spin,14,
Ret,4,Ralf Schumacher,Williams-BMW,21,Spin,5,
Ret,2,Rubens Barrichello,Ferrari,2,Accident,2,
