Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,5,David Coulthard,McLaren-Mercedes,58,1:34:42.124,11,10
2,3,Juan Pablo Montoya,Williams-BMW,58,+8.6 secs,3,8
3,6,Kimi Räikkönen,McLaren-Mercedes,58,+9.1 secs,15,6
4,1,Michael Schumacher,Ferrari,58,+9.4 secs,1,5
5,7,Jarno Trulli,Renault,58,+38.8 secs,12,4
6,10,Heinz-Harald Frentzen,Sauber-Petronas,58,+43.9 secs,4,3
7,8,Fernando Alonso,Renault,58,+45.0 secs,10,2
8,4,Ralf Schumacher,Williams-BMW,58,+45.7 secs,9,1
9,16,Jacques Villeneuve,BAR-Honda,58,+65.5 secs,6,
10,17,Jenson Button,BAR-Honda,58,+65.9 secs,8,
11,19,Jos Verstappen,Minardi-Cosworth,57,+1 Lap,20,
Ret,11,Giancarlo Fisichella,Jordan-Ford,52,Gearbox,13,
Ret,15,Antonio Pizzonia,Jaguar-Cosworth,52,Suspension,18,
Ret,20,Olivier Panis,Toyota,31,Fuel pressure,5,
Ret,9,Nick Heidfeld,Sauber-Petronas,20,Suspension,7,
Ret,18,Justin Wilson,Minardi-Cosworth,16,Radiator,19,
Ret,14,Mark Webber,Jaguar-Cosworth,15,Suspension,14,
Ret,21,Cristiano da Matta,Toyota,7,Spin,16,
Ret,12,Ralph Firman,Jordan-Ford,6,Accident,17,
Ret,2,Rubens Barrichello,Ferrari,5,Accident,2,
