Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,2,Ronnie Peterson,Lotus-Ford,54,1:28'48.78,2,9
2,5,Jackie Stewart,Tyrrell-Ford,54,+ 9.01,7,6
3,24,Carlos Pace,Surtees-Ford,54,+ 46.64,8,4
4,10,Carlos Reutemann,Brabham-Ford,54,+ 47.91,5,3
5,20,Jean Pierre  Beltoise,BRM ,54,+ 1'21.30,13,2
6,19,Clay Regazzoni,BRM ,54,+ 1'38.40,14,1
7,4,Arturo Merzario,Ferrari ,53,+ 1 Lap ,6,
8,7,Denny Hulme,McLaren-Ford,53,+ 1 Lap,3,
9,26,Gijs Van Lennep,Iso Marlboro-Ford,52,+  2 Laps,23,
10,23,Mike Hailwood,Surtees-Ford,49,+ 5 Laps,15,
Ret,1,Emerson Fittipaldi,Lotus-Ford,48,Fuel system,1,
NC,25,Howden  Ganley ,Iso Marlboro-Ford,44,+ 10 Laps,21,
Ret,18,Jean Pierre Jarier,March-Ford,37,Engine,12,
Ret,28,Rikky von  Opel ,Ensign-Ford,34,Fuel system,19,
Ret,11,Wilson Fittipaldi,Brabham-Ford,31,Fuel system,16,
Ret,12,Graham Hill,Shadow-Ford,28,Suspension,22,
Ret,16,George  Follmer ,Shadow-Ford,23,Differential,20,
Ret,9,Rolf Stommelen,Brabham-Ford,21,Wheel,17,
Ret,17,Jackie Oliver,Shadow-Ford,9,Fuel system,18,
Ret,6,Francois  Cevert ,Tyrrell-Ford,6,Suspension,10,
Ret,27,James Hunt,March-Ford,3,Injection,9,
Ret,8,Peter   Revson,McLaren-Ford,0,Clutch,4,
Ret,15,Mike  Beuttler ,March-Ford,0,Collision,11,
