Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,2,Ronnie Peterson,Lotus-Ford,55,1:29'17.0,1,9
2,1,Emerson Fittipaldi,Lotus-Ford,55,+ 0.8,4,6
3,8,Peter   Revson,McLaren-Ford,55,+ 28.8,2,4
4,5,Jackie Stewart,Tyrrell-Ford,55,+ 33.2,6,3
5,6,Francois  Cevert ,Tyrrell-Ford,55,+ 46.2,11,2
6,10,Carlos Reutemann,Brabham-Ford,55,+ 59.8,10,1
7,23,Mike Hailwood,Surtees-Ford,55,+ 1'28.7,8,
8,3,Jacky Ickx,Ferrari ,54,+ 1 Lap,14,
9,29,David Purley,March-Ford,54,+ 1 Lap,24,
10,16,George  Follmer ,Shadow-Ford,54,+ 1 Lap,21,
11,17,Jackie Oliver,Shadow-Ford,54,+ 1 Lap,19,
12,9,Rolf Stommelen,Brabham-Ford,54,+ 1 Lap,9,
13,20,Jean Pierre  Beltoise,BRM ,54,+ 1 Lap,13,
14,12,Graham Hill,Shadow-Ford,54,+ 1 Lap,22,
15,7,Denny Hulme,McLaren-Ford,53,+ 2 Laps,3,
NC,25,Howden  Ganley ,Iso Marlboro-Ford,44,+ 11 Laps,20,
Ret,15,Mike  Beuttler ,March-Ford,34,Gearbox,12,
Ret,21,Niki Lauda,BRM ,33,Accident,15,
Ret,19,Clay Regazzoni,BRM ,30,Ignition,18,
Ret,24,Carlos Pace,Surtees-Ford,17,Tyre,5,
Ret,26,Gijs Van Lennep,Iso Marlboro-Ford,14,Overheating,23,
Ret,28,Rikky von  Opel ,Ensign-Ford,10,Overheating,17,
Ret,11,Wilson Fittipaldi,Brabham-Ford,6,Brakes,16,
Ret,4,Arturo Merzario,Ferrari ,2,Suspension,7,
