Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,1,Sebastian Vettel,Red Bull Racing-Renault,56,1:39:17.148,1,25
2,8,Romain Grosjean,Lotus-Renault,56,+6.2 secs,3,18
3,2,Mark Webber,Red Bull Racing-Renault,56,+8.3 secs,2,15
4,10,Lewis Hamilton,Mercedes,56,+27.3 secs,5,12
5,3,Fernando Alonso,Ferrari,56,+29.5 secs,6,10
6,11,Nico Hulkenberg,Sauber-Ferrari,56,+30.4 secs,4,8
7,6,Sergio Perez,McLaren-Mercedes,56,+46.6 secs,7,6
8,17,Valtteri  Bottas,Williams-Renault,56,+54.5 secs,9,4
9,9,Nico Rosberg,Mercedes,56,+59.1 secs,12,2
10,5,Jenson Button,McLaren-Mercedes,56,+77.2 secs,15,1
11,19,Daniel Ricciardo,STR-Ferrari,56,+81.0 secs,10,
12,4,Felipe Massa,Ferrari,56,+86.9 secs,13,
13,12,Esteban Gutierrez,Sauber-Ferrari,56,+91.7 secs,20,
14,7,Heikki Kovalainen,Lotus-Renault,56,+95.0 secs,8,
15,14,Paul di Resta,Force India-Mercedes,56,+96.8 secs,11,
16,18,Jean-Eric Vergne,STR-Ferrari,56,+104.5 secs,14,
17,16,Pastor Maldonado,Williams-Renault,55,+1 Lap,17,
18,22,Jules Bianchi,Marussia-Cosworth,55,+1 Lap,19,
19,21,Giedo van der Garde,Caterham-Renault,55,+1 Lap,18,
20,20,Charles Pic,Caterham-Renault,55,+1 Lap,22,
21,23,Max Chilton,Marussia-Cosworth,54,+2 Laps,21,
Ret,15,Adrian Sutil,Force India-Mercedes,0,Accident,16,
