Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,6,Bob Sweikert,Kurtis Kraft-Offenhauser,200,3:53'59.53,14,8
SHR,10,Tony  Bettenhausen,Kurtis Kraft-Offenhauser,200,+ 2'43.56,2,3
3,15,Jimmy Davies,Kurtis Kraft-Offenhauser,200,+ 3'32.36,10,4
4,44,Johnny Thomson,Kuzma-Offenhauser ,200,+ 3'38.91,33,3
SHR,77,Walt  Faulkner,Kurtis Kraft-Offenhauser,200,+ 5'17.17,7,1
6,19,Andy Linden,Kurtis Kraft-Offenhauser,200,+ 5'57.94,8,
7,71,Al  Herman,Kurtis Kraft-Offenhauser,200,+ 6'24.24,16,
8,29,Pat  O'Connor,Kurtis Kraft-Offenhauser,200,+ 6'41.60,19,
9,48,Jimmy  Daywalt,Kurtis Kraft-Offenhauser,200,+ 7'09.81,17,
10,89,Pat Flaherty,Kurtis Kraft-Offenhauser,200,+ 7'46.54,12,
11,98,Duane Carter,Kuzma-Offenhauser ,197,+ 3 Laps,18,
12,41,Chuck  Weyant,Kurtis Kraft-Offenhauser,196,+ 4 Laps,25,
13,83,Eddie Johnson,Trevis-Offenhauser,196,+ 4 Laps,32,
14,33,Jim Rathmann,Epperly-Offenhauser,191,+ 9 Laps,20,
Ret,12,Don  Freeland,Phillips-Offenhauser,178,Transmission,21,
Ret,22,Cal  Niday,Kurtis Kraft-Offenhauser,170,Accident,9,
Ret,99,Art Cross,Kurtis Kraft-Offenhauser,168,Engine,24,
Ret,81,Shorty  Templeman,Trevis-Offenhauser,142,Transmission,31,
Ret,8,Sam Hanks,Kurtis Kraft-Offenhauser,134,Transmission,6,
Ret,31,Keith  Andrews,Schroeder-Offenhauser,120,Fuel pump,28,
Ret,16,Johnnie  Parsons,Kurtis Kraft-Offenhauser,119,Magneto,27,
Ret,37,Eddie  Russo,Pawl-Offenhauser,112,Ignition,13,
Ret,49,Ray  Crawford,Kurtis Kraft-Offenhauser,111,Engine,23,
Ret,1,Jimmy Bryan,Kuzma-Offenhauser ,90,Fuel pump,11,
Ret,4,Bill  Vukovich ,Kurtis Kraft-Offenhauser,56,Accident,5,1
Ret,3,Jack McGrath,Kurtis Kraft-Offenhauser,54,Magneto,3,
Ret,42,Al  Keller,Kurtis Kraft-Offenhauser,54,Accident,22,
Ret,39,Johnny  Boyd,Kurtis Kraft-Offenhauser,53,Accident,26,
Ret,68,Ed  Elisian,Kurtis Kraft-Offenhauser,53,Retirement,29,
Ret,27,Rodger Ward,Kuzma-Offenhauser ,53,Accident,30,
Ret,23,Jerry  Hoyt,Stevens-Offenhauser ,40,Oil leak,1,
Ret,14,Fred Agabashian,Kurtis Kraft-Offenhauser,39,Spun off,4,
Ret,5,Jimmy Reece,Pankratz-Offenhauser,10,Engine,15,
Ret,10,Paul Russo,Kurtis Kraft-Offenhauser,,,,3
Ret,77,Bill Homeier,Kurtis Kraft-Offenhauser,74,Accident,18,1
