Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,12,Stirling Moss,Mercedes,90,3:07.21.2,1,9
2,10,Juan Manuel Fangio,Mercedes,90,+ 0.2,2,6
3,14,Karl Kling,Mercedes,90,+ 1'11.0,4,4
4,50,Piero  Taruffi,Mercedes,89,+ 1 Lap,5,3
5,4,Luigi Musso,Maserati ,89,+ 1 Lap,9,2
6,16,Mike Hawthorn,Ferrari ,87,+ 3 Laps,12,
7,26,Mike Sparken,Gordini,81,+ 9 Laps,23,
8,46,Lance Macklin,Maserati ,79,+ 11 Laps,16,
9,28,Ken  Wharton,Vanwall,72,+ 18 Laps,15,
Ret,18,Maurice  Trintignant,Ferrari ,59,Overheating,13,
Ret,6,Roberto Mieres,Maserati ,47,Engine,6,
Ret,32,Kenneth McAlpine,Connaught-Alta,30,Oil pressure,17,
Ret,40,Jack Brabham,Cooper-Bristol,30,Engine,25,
Ret,44,Peter Collins,Maserati ,29,Clutch,24,
Ret,24,Hermano da Silva  Ramos ,Gordini,24,Oil pressure,18,
Ret,48,Horace  Gould ,Maserati ,22,Brakes,22,
Ret,44,Roy Salvadori,Maserati ,19,Gearbox,20,
Ret,36,Tony Rolt,Connaught-Alta,18,Transmission,14,
Ret,38,Leslie Marr,Connaught-Alta,18,Brakes,19,
Ret,20,Eugenio Castellotti,Ferrari ,16,Transmission,10,
Ret,8,Andre  Simon,Maserati ,15,Gearbox,8,
Ret,30,Harry Schell,Vanwall,13,Throttle,7,
Ret,2,Jean Behra,Maserati ,9,Oil leak,3,
Ret,22,Robert  Manzon,Gordini,4,Transmission,11,
