Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,99,Lee Wallard,Kurtis Kraft-Offenhauser,200,3:57'38.05,2,9
2,83,Mike Nazaruk,Kurtis Kraft-Offenhauser,200,+1'47.24,7,6
SHR,9,Manny Ayulo,Kurtis Kraft-Offenhauser,200,+2'51.39,3,2
4,57,Andy Linden,Sherman-Offenhauser ,200,+4'40.12,31,3
5,52,Bobby Ball,Schroeder-Offenhauser,200,+4'52.23,29,2
6,1,Henry Banks,Moore-Offenhauser,200,+5'40.02,17,
7,68,Carl Forberg,Kurtis Kraft-Offenhauser,193,+7 Laps,24,
8,27,Duane Carter,Deidt-Offenhauser,180,+20 Laps,4,
Ret,5,Tony  Bettenhausen,Deidt-Offenhauser,178,Spun off,9,
Ret,18,Duke Nalon,Kurtis Kraft-Novi,151,Retirement,1,
Ret,69,Gene Force,Kurtis Kraft-Offenhauser,142,Engine,22,
Ret,25,Sam Hanks,Kurtis Kraft-Offenhauser,135,Engine,12,
Ret,10,Bill Schindler,Kurtis Kraft-Offenhauser,129,Engine,16,
Ret,16,Mauri  Rose,Deidt-Offenhauser,126,Accident,5,
Ret,2,Walt  Faulkner,Kuzma-Offenhauser,123,Engine,14,
Ret,76,Jimmy Davies,Pawl-Offenhauser,110,Axle,27,
Ret,59,Fred Agabashian,Kurtis Kraft-Offenhauser,109,Clutch,11,
Ret,73,Carl Scarborough,Kurtis Kraft-Offenhauser,93,Fire,19,
Ret,71,Bill  Mackey,Hall-Offenhauser,97,Clutch,33,
Ret,8,Chuck  Stevenson,Marchese-Offenhauser,93,Fire,19,
Ret,3,Johnnie  Parsons,Kurtis Kraft-Offenhauser,87,Magneto,8,
Ret,4,Cecil  Green,Kurtis Kraft-Offenhauser,80,Engine,10,
Ret,98,Troy Ruttman,Kurtis Kraft-Offenhauser,78,Engine,6,
Ret,6,Duke Dinsmore,Schroeder-Offenhauser,73,Overheating,32,
Ret,32,Chet  Miller,Kurtis Kraft-Novi,56,Ignition,28,
Ret,44,Walt Brown,Kurtis Kraft-Offenhauser,55,Magneto,13,
Ret,48,Rodger Ward,Bromme-Offenhauser,34,Oil pipe,25,
Ret,23,Cliff Griffith,Kurtis Kraft-Offenhauser,30,Axle,18,
Ret,81,Bill  Vukovich ,Trevis-Offenhauser,29,Oil leak,20,
Ret,22,George Connor,Lesovsky-Offenhauser  ,29,Transmission,21,
Ret,19,Mack Hellings,Deidt-Offenhauser,18,Engine,23,
Ret,12,Johnny McDowell,Maserati-Offfenhauser,15,Fuel leak,26,
Ret,26,Joe James,Watson-Offenhauser,8,Transmission,30,
SHR,9,Jack McGrath,Kurtis Kraft-Offenhauser,200,+2'51.39,3,2
