Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,4,Clay Regazzoni,Ferrari ,68,1:39'06.88,3,9
2,18,Jackie Stewart,March-Ford,68,+ 5.73,4,6
3,40,Jean Pierre  Beltoise,Matra,68,+ 5.80,14,4
4,30,Denny Hulme,McLaren-Ford,68,+ 6.15,9,3
5,46,Rolf Stommelen,Brabham-Ford,68,+ 6.41,17,2
6,20,Francois  Cevert ,March-Ford,68,+ 1'03.46,11,1
7,48,Chris Amon,March-Ford,67,+ 1 Lap,18,
8,34,Andrea de Adamich ,McLaren-Alfa Romeo,61,+ 7 Laps,12,
NC,32,Peter  Gethin ,McLaren-Ford,60,+ 8 Laps,16,
Ret,8,Jackie Oliver,BRM ,36,Engine,6,
Ret,52,Ronnie Peterson,March-Ford,35,Engine,13,
Ret,44,Jack Brabham,Brabham-Ford,31,Accident,8,
Ret,2,Jacky Ickx,Ferrari ,25,Clutch,1,
Ret,12,George Eaton,BRM ,21,Overheating,20,
Ret,54,Tim   Schenken,De Tomaso-Ford,17,Engine,19,
Ret,6,Ignazio  Giunti ,Ferrari ,14,Fuel system,15,
Ret,42,Henri Pescarolo,Matra,14,Engine,5,
Ret,10,Pedro Rodriguez,BRM ,12,Engine,2,
Ret,50,Jo Siffert,March-Ford,3,Engine,7,
Ret,14,John Surtees,Surtees-Ford,0,Electrical,10,
WD,28,Graham Hill,Lotus-Ford,,Withdrawn,,
WD,24,John   Miles,Lotus-Ford,,Withdrawn,,
DNS,22,Jochen Rindt,Lotus-Ford,,Fatal accident,,
DNQ,38,Jo Bonnier,McLaren-Ford,,,,
WD,26,Emerson Fittipaldi,Lotus-Ford,,Withdrawn,,
DNQ,36,Nanni  Galli ,McLaren-Alfa Romeo,,,,
DNQ,56,Silvio  Moser ,Bellasi-Ford,,,,
