Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,2,Nigel Mansell,Williams-Renault,81,1:47'51.480,1,10
2,28,Gerhard Berger,Ferrari,81,+2.511,11,6
3,8,Martin Brundle,McLaren-Peugeot,81,+52.487,9,4
4,14,Rubens Barrichello,Jordan-Hart,81,+1'10.530,5,3
5,26,Olivier Panis,Ligier-Renault,80,+1 Lap,12,2
6,27,Jean Alesi,Ferrari,80,+1 Lap,8,1
7,30,Heinz-Harald Frentzen,Sauber-Mercedes,80,+1 Lap,10,
8,9,Christian Fittipaldi,Footwork-Ford,80,+1 Lap,19,
9,23,Pierluigi Martini,Minardi-Ford,79,+2 Laps,18,
10,6,Jyrki Jarvilehto,Benetton-Ford,79,+2 Laps,17,
11,25,Franck Lagorce,Larrousse-Ford,79,+2 Laps,20,
12,7,Mika Hakkinen,McLaren-Peugeot,76,Spun off,4,
Ret,24,Michele Alboreto,Minardi-Ford,69,Suspension,16,
Ret,4,Mark Blundell,Tyrrell-Yamaha,66,Collision,13,
Ret,20,Jean-Denis Deletraz,Larrousse-Ford,56,Gearbox,25,
Ret,11,Mika Salo,Lotus-Mugen-Honda,49,Electrical,22,
Ret,31,David Brabham,Simtek-Ford,49,Engine,24,
Ret,11,Alessandro Zanardi,Lotus-Mugen-Honda,40,Throttle,14,
Ret,5,Michael Schumacher,Benetton-Ford,35,Collision,2,
Ret,0,Damon Hill,Williams-Renault,35,Collision,3,
Ret,32,Domenico Schiattarella,Simtek-Ford,21,Gearbox,26,
Ret,3,Ukyo Katayama,Tyrrell-Yamaha,19,Spun off,15,
Ret,19,Hideki Noda,Jordan-Hart,18,Oil leak,23,
Ret,10,Gianni Morbidelli,Footwork-Ford,17,Oil leak,21,
Ret,15,Eddie Irvine,Jordan-Hart,15,Spun off,6,
Ret,12,Johnny Herbert,Lotus-Mugen-Honda,13,Gearbox,7,
DNQ,34,Bertrand Gachot,Pacific-Ilmor,,,,
DNQ,33,Paul Belmondo,Pacific-Ilmor,,,,
