Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,0,Damon Hill,Williams-Renault,50,1:55'53.532,2,10
2,5,Michael Schumacher,Benetton-Ford,50,+3.365,1,6
3,27,Jean Alesi,Ferrari,50,+52.045,7,4
4,2,Nigel Mansell,Williams-Renault,50,+56.074,4,3
5,15,Eddie Irvine,Jordan-Hart,50,+1'42.107,6,2
6,30,Heinz-Harald Frentzen,Sauber-Mercedes,50,+1'59.863,3,1
7,7,Mika Hakkinen,McLaren-Peugeot,50,+2'02.985,8,
8,9,Christian Fittipaldi,Footwork-Ford,49,+1 Lap,18,
9,20,Erik Comas,Larrousse-Ford,49,+1 Lap,22,
10,11,Mika Salo,Lotus-Mugen-Honda,49,+1 Lap,25,
11,26,Olivier Panis,Ligier-Renault,49,+1 Lap,19,
12,31,David Brabham,Simtek-Ford,48,+2 Laps,24,
13,11,Alessandro Zanardi,Lotus-Mugen-Honda,48,+2 Laps,17,
Ret,4,Mark Blundell,Tyrrell-Yamaha,26,Engine,13,
Ret,14,Rubens Barrichello,Jordan-Hart,16,Gearbox,10,
Ret,8,Martin Brundle,McLaren-Peugeot,13,Spun off,9,
Ret,10,Gianni Morbidelli,Footwork-Ford,13,Spun off,12,
Ret,28,Gerhard Berger,Ferrari,10,Ignition,11,
Ret,25,Franck Lagorce,Larrousse-Ford,10,Collision,20,
Ret,23,Pierluigi Martini,Minardi-Ford,10,Collision,16,
Ret,24,Michele Alboreto,Minardi-Ford,10,Spun off,21,
Ret,12,Johnny Herbert,Lotus-Mugen-Honda,3,Spun off,5,
Ret,3,Ukyo Katayama,Tyrrell-Yamaha,3,Spun off,14,
Ret,32,Taki Inoue,Simtek-Ford,3,Spun off,26,
Ret,6,Jyrki Jarvilehto,Benetton-Ford,0,Engine,15,
Ret,19,Hideki Noda,Jordan-Hart,0,Spun off,23,
DNQ,34,Bertrand Gachot,Pacific-Ilmor,,,,
DNQ,33,Paul Belmondo,Pacific-Ilmor,,,,
