Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,1,Michael Schumacher,Ferrari,55,1:47'34.801,1,10
2,2,Rubens Barrichello,Ferrari,55,+23.660,2,6
3,4,David Coulthard,McLaren-Mercedes,55,+28.555,8,4
4,11,Heinz-Harald Frentzen,Jordan-Honda,55,+46.543,9,3
5,5,Ralf Schumacher,Williams-BMW,55,+48.233,3,2
6,3,Mika Hakkinen,McLaren-Mercedes,55,+48.606,4,1
7,14,Jos Verstappen,Arrows-Asiatech,55,+1'21.560,18,
8,11,Jarno Trulli,Jordan-Honda,54,+1 Lap,5,
9,22,Jean Alesi,Prost-Acer,54,+1 Lap,13,
10,19,Luciano Burti,Jaguar-Cosworth,54,+1 Lap,15,
11,8,Jenson Button,Benetton-Renault,53,+2 Laps,17,
12,23,Gaston Mazzacane,Prost-Acer,53,+2 Laps,19,
13,21,Fernando Alonso,Minardi-European,52,+3 Laps,21,
14,20,Tarso Marques,Minardi-European,51,+4 Laps,20,
Ret,7,Giancarlo Fisichella,Benetton-Renault,31,Fuel Pressure,16,
Ret,10,Jacques Villeneuve,BAR-Honda,3,Spun off,7,
Ret,16,Nick Heidfeld,Sauber-Petronas,3,Spun off,11,
Ret,15,Enrique Bernoldi,Arrows-Asiatech,3,Spun off,22,
Ret,6,Juan Pablo Montoya,Williams-BMW,3,Spun off,6,
Ret,18,Eddie Irvine,Jaguar-Cosworth,3,Water Leak,12,
Ret,9,Olivier Panis,BAR-Honda,1,Oil Leak,10,
Ret,17,Kimi Räikkönen,Sauber-Petronas,0,Transmission,14,
