Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,3,Mika Hakkinen,McLaren-Mercedes,73,1:32'42.840,4,10
2,1,Michael Schumacher,Ferrari,73,+11.046,1,6
3,4,David Coulthard,McLaren-Mercedes,73,+12.043,7,4
4,11,Jarno Trulli,Jordan-Honda,73,+57.423,8,3
5,18,Eddie Irvine,Jaguar-Cosworth,73,+1'12.434,14,2
6,16,Nick Heidfeld,Sauber-Petronas,73,+1'12.996,6,1
7,12,Jean Alesi,Jordan-Honda,72,+1 Lap,9,
8,7,Giancarlo Fisichella,Benetton-Renault,72,+1 Lap,12,
9,8,Jenson Button,Benetton-Renault,72,+1 Lap,10,
10,22,Heinz-Harald Frentzen,Prost-Acer,72,+1 Lap,15,
11,9,Olivier Panis,BAR-Honda,72,+1 Lap,13,
12,19,Pedro de la Rosa,Jaguar-Cosworth,72,+1 Lap,16,
13,15,Enrique Bernoldi,Arrows-Asiatech,72,+1 Lap,19,
14,23,Tomas Enge,Prost-Acer,72,+1 Lap,21,
15,2,Rubens Barrichello,Ferrari,71,Engine,5,
Ret,10,Jacques Villeneuve,BAR-Honda,45,Suspension,18,
Ret,14,Jos Verstappen,Arrows-Asiatech,44,Engine,20,
Ret,6,Juan Pablo Montoya,Williams-BMW,38,Hydraulics,3,
Ret,20,Alex Yoong,Minardi-European,38,Gearbox,22,
Ret,5,Ralf Schumacher,Williams-BMW,36,Spun off,2,
Ret,21,Fernando Alonso,Minardi-European,36,Driveshaft,17,
Ret,17,Kimi Räikkönen,Sauber-Petronas,2,Driveshaft,11,
