Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,2,Rubens Barrichello,Ferrari,60,1:35'07.426,4,10
2,1,Michael Schumacher,Ferrari,60,+0.294s,3,6
3,4,Kimi Räikkönen,McLaren-Mercedes,60,+46.435s,6,4
4,5,Ralf Schumacher,Williams-BMW,60,+1'06.963s,2,3
5,15,Jenson Button,Renault,60,+1'16.944s,8,2
6,8,Felipe Massa,Sauber-Petronas,59,+1 Lap,11,1
7,7,Nick Heidfeld,Sauber-Petronas,59,+1 Lap,9,
8,14,Jarno Trulli,Renault,59,+1 Lap,7,
9,12,Olivier Panis,BAR-Honda,59,+1 Lap,12,
10,17,Pedro de la Rosa,Jaguar-Cosworth,59,+1 Lap,16,
11,21,Enrique Bernoldi,Arrows-Cosworth,59,+1 Lap,21,
12,11,Jacques Villeneuve,BAR-Honda,59,+1 Lap,19,
13,20,Heinz-Harald Frentzen,Arrows-Cosworth,59,+1 Lap,15,
14,25,Allan McNish,Toyota,59,+1 Lap,13,
15,23,Mark Webber,Minardi-Asiatech,58,+2 Laps,20,
16,10,Takuma Sato,Jordan-Honda,58,+2 Laps,14,
Ret,24,Mika Salo,Toyota,51,Gearbox,10,
Ret,22,Alex Yoong,Minardi-Asiatech,48,Hydraulics,22,
Ret,16,Eddie Irvine,Jaguar-Cosworth,41,Hydraulics,17,
Ret,6,Juan Pablo Montoya,Williams-BMW,27,Collision,1,
Ret,3,David Coulthard,McLaren-Mercedes,27,Collision,5,
Ret,9,Giancarlo Fisichella,Jordan-Honda,26,Accident damage,18,
