Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,1,Michael Schumacher,Ferrari,58,1:35'36.792,2,10
2,6,Juan Pablo Montoya,Williams-BMW,58,+18.627,6,6
3,4,Kimi Räikkönen,McLaren-Mercedes,58,+25.066,5,4
4,16,Eddie Irvine,Jaguar-Cosworth,57,+1 Lap,19,3
5,23,Mark Webber,Minardi-Asiatech,56,+2 Laps,18,2
6,24,Mika Salo,Toyota,56,+2 Laps,14,1
7,22,Alex Yoong,Minardi-Asiatech,55,+3 Laps,21,
8,17,Pedro de la Rosa,Jaguar-Cosworth,53,+5 Laps,20,
Ret,3,David Coulthard,McLaren-Mercedes,33,Gearbox,4,
Ret,11,Jacques Villeneuve,BAR-Honda,27,Broken Wing,13,
DSQ,20,Heinz-Harald Frentzen,Arrows-Cosworth,16,Disqualified,15,
DSQ,21,Enrique Bernoldi,Arrows-Cosworth,15,Disqualified,17,
Ret,10,Takuma Sato,Jordan-Honda,12,Electrical,22,
Ret,14,Jarno Trulli,Renault,8,Spun Off,7,
Ret,2,Rubens Barrichello,Ferrari,0,Collision,1,
Ret,5,Ralf Schumacher,Williams-BMW,0,Collision,3,
Ret,9,Giancarlo Fisichella,Jordan-Honda,0,Collision,8,
Ret,8,Felipe Massa,Sauber-Petronas,0,Collision,9,
Ret,7,Nick Heidfeld,Sauber-Petronas,0,Collision,10,
Ret,15,Jenson Button,Renault,0,Collision,11,
Ret,12,Olivier Panis,BAR-Honda,0,Collision,12,
Ret,25,Allan McNish,Toyota,0,Collision,16,
