Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,5,Nigel Mansell,Williams-Renault,45,1:18'22.032,1,10
2,1,Ayrton Senna,McLaren-Honda,45,+4.500,3,6
3,19,Michael Schumacher,Benetton-Ford,45,+34.462,6,4
4,20,Martin Brundle,Benetton-Ford,45,+36.959,9,3
5,27,Jean Alesi,Ferrari,45,+1'12.607,5,2
6,26,Erik Comas,Ligier-Renault,45,+1'36.498,7,1
7,25,Thierry Boutsen,Ligier-Renault,45,+1'37.180,8,
8,6,Riccardo Patrese,Williams-Renault,44,Spun Of,2,
9,9,Michele Alboreto,Footwork-Mugen-Honda,44,+ 1 Lap,17,
10,21,Jyrki Jarvilehto,Dallara-Ferrari,44,+ 1 Lap,21,
11,22,Pierluigi Martini,Dallara-Ferrari,44,+ 1 Lap,18,
12,24,Gianni Morbidelli,Minardi-Lamborghini,44,+ 1 Lap,26,
13,17,Paul Belmondo,March-Ilmor,44,+ 1 Lap,22,
14,29,Bertrand Gachot,Venturi-Lamborghini,44,+ 1 Lap,25,
15,33,Mauricio Gugelmin,Jordan-Yamaha,43,+ 2 Lap,23,
16,16,Karl Wendlinger,March-Ilmor,42,+ 3 Lap,10,
Ret,15,Gabriele Tarquini,Fondmetal-Ford,33,Engine,19,
Ret,4,Andrea de Cesaris,Tyrrell-llmor ,25,Engine,20,
Ret,12,Johnny Herbert,Lotus-Ford,23,Engine,11,
Ret,28,Ivan Capelli,Ferrari,21,Engine,12,
Ret,11,Mika Hakkinen,Lotus-Ford,21,Engine,13,
Ret,2,Gerhard Berger,McLaren-Honda,16,Electrical,4,
Ret,3,Olivier Grouillard,Tyrrell-llmor ,8,Engine,14,
Ret,30,Ukyo Katayama,Venturi-Lamborghini,8,spun Off,16,
Ret,10,Aguri Suzuki,Footwork-Mugen-Honda,1,Spun Off,15,
Ret,23,Alessandro Zanardi,Minardi-Lamborghini,1,Gear Box,24,
DNQ,32,Stefano Modena,Jordan-Yamaha,,,,
DNQ,7,Eric van de Poele,Brabham-Judd,,,,
DNQ,14,Andrea Chiesa,Fondmetal-Ford,,,,
DNQ,8,Damon Hill,Brabham-Judd,,,,
DNPQ,34,Roberto Moreno,Moda Judd,,,,
DNPQ,35,Perry McCarthy,Moda Judd,,,,
