Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,6,Riccardo Patrese,Williams-Renault,53,1:33'09.533,2,10
2,2,Gerhard Berger,McLaren-Honda,53,+13.729,4,6
3,20,Martin Brundle,Benetton-Ford,53,+1'15.503,13,4
4,4,Andrea de Cesaris,Tyrrell-llmor ,52,+ 1 Lap,9,3
5,27,Jean Alesi,Ferrari,52,+ 1 Lap,15,2
6,23,Christian Fittipaldi,Minardi-Lamborghini,52,+ 1 Lap,12,1
7,32,Stefano Modena,Jordan-Yamaha,52,+ 1 Lap,17,
8,10,Aguri Suzuki,Footwork-Mugen-Honda,52,+ 1 Lap,16,
9,21,Jyrki Jarvilehto,Dallara-Ferrari,52,+ 1 Lap,22,
10,22,Pierluigi Martini,Dallara-Ferrari,52,+ 1 Lap,19,
11,30,Ukyo Katayama,Venturi-Lamborghini,52,+ 1 Lap,20,
12,28,Nicola Larini,Ferrari,52,+ 1 Lap,11,
13,17,Emanuele Naspetti,March-Ilmor,51,+ 2 Lap,26,
14,24,Gianni Morbidelli,Minardi-Lamborghini,51,+ 2 Lap,14,
15,9,Michele Alboreto,Footwork-Mugen-Honda,51,+ 2 Lap,24,
Ret,5,Nigel Mansell,Williams-Renault,44,Engine,1,
Ret,11,Mika Hakkinen,Lotus-Ford,44,Engine,7,
Ret,29,Bertrand Gachot,Venturi-Lamborghini,39,Collision,18,
Ret,26,Erik Comas,Ligier-Renault,36,Engine,8,
Ret,16,Jan Lammers,March-Ilmor,27,Clutch,23,
Ret,33,Mauricio Gugelmin,Jordan-Yamaha,22,Spun Off,25,
Ret,12,Johnny Herbert,Lotus-Ford,15,Gear Box,6,
Ret,19,Michael Schumacher,Benetton-Ford,13,Gear Box,5,
Ret,3,Olivier Grouillard,Tyrrell-llmor ,6,Spun Off,21,
Ret,25,Thierry Boutsen,Ligier-Renault,3,Gear Box ,10,
Ret,1,Ayrton Senna,McLaren-Honda,2,Engine,3,
