Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,2,Gerhard Berger,McLaren-Honda,81,1:46'54.786,4,10
2,19,Michael Schumacher,Benetton-Ford,81,+0.741,5,6
3,20,Martin Brundle,Benetton-Ford,81,+54.156,8,4
4,27,Jean Alesi,Ferrari,80,+ 1 Lap,6,3
5,25,Thierry Boutsen,Ligier-Renault,80,+ 1 Lap,22,2
6,32,Stefano Modena,Jordan-Yamaha,80,+ 1 Lap,15,1
7,11,Mika Hakkinen,Lotus-Ford,80,+ 1 Lap,10,
8,10,Aguri Suzuki,Footwork-Mugen-Honda,79,+ 2 Lap,18,
9,23,Christian Fittipaldi,Minardi-Lamborghini,79,+ 2 Lap,17,
10,24,Gianni Morbidelli,Minardi-Lamborghini,79,+ 2 Lap,16,
11,28,Nicola Larini,Ferrari,79,+ 2 Lap,19,
12,16,Jan Lammers,March-Ilmor,78,+ 3 Lap,25,
13,12,Johnny Herbert,Lotus-Ford,77,+ 4 Lap,12,
Ret,21,Jyrki Jarvilehto,Dallara-Ferrari,70,Gear Box,24,
Ret,17,Emanuele Naspetti,March-Ilmor,55,Gear Box,23,
Ret,29,Bertrand Gachot,Venturi-Lamborghini,51,Fuel system,21,
Ret,6,Riccardo Patrese,Williams-Renault,50,Engine,3,
Ret,30,Ukyo Katayama,Venturi-Lamborghini,35,Differential,26,
Ret,4,Andrea de Cesaris,Tyrrell-llmor ,29,Engine,7,
Ret,5,Nigel Mansell,Williams-Renault,18,Collision,1,
Ret,1,Ayrton Senna,McLaren-Honda,18,Collision,2,
Ret,33,Mauricio Gugelmin,Jordan-Yamaha,7,Spun Off,20,
Ret,26,Erik Comas,Ligier-Renault,4,Engine,9,
Ret,9,Michele Alboreto,Footwork-Mugen-Honda,0,Spun Off,11,
Ret,3,Olivier Grouillard,Tyrrell-llmor ,0,Collision,13,
Ret,22,Pierluigi Martini,Dallara-Ferrari,0,Collision,14,
