Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,2,Gerhard Berger,McLaren-Honda,69,1:37'08.299,4,10
2,19,Michael Schumacher,Benetton-Ford,69,+12.401,5,6
3,27,Jean Alesi,Ferrari,69,+1'07.327,8,4
4,16,Karl Wendlinger,March-Ilmor,68,+ 1 Lap,12,3
5,4,Andrea de Cesaris,Tyrrell-llmor ,68,+ 1 Lap,14,2
6,26,Erik Comas,Ligier-Renault,68,+ 1 Lap,22,1
7,9,Michele Alboreto,Footwork-Mugen-Honda,68,+ 1 Lap,16,
8,22,Pierluigi Martini,Dallara-Ferrari,68,+ 1 Lap,15,
9,21,Jyrki Jarvilehto,Dallara-Ferrari,68,+ 1 Lap,23,
10,25,Thierry Boutsen,Ligier-Renault,67,+ 2 Lap,21,
11,24,Gianni Morbidelli,Minardi-Lamborghini,67,+ 2 Lap,13,
12,3,Olivier Grouillard,Tyrrell-llmor ,67,+ 2 Lap,26,
13,23,Christian Fittipaldi,Minardi-Lamborghini,65,+ 4 Lap,25,
14,17,Paul Belmondo,March-Ilmor,64,+ 5 Lap,20,
Ret,30,Ukyo Katayama,Venturi-Lamborghini,61,Engine,11,
Ret,20,Martin Brundle,Benetton-Ford,45,Transmission,7,
Ret,6,Riccardo Patrese,Williams-Renault,43,Gear box,2,
Ret,1,Ayrton Senna,McLaren-Honda,37,Electrical,1,
Ret,32,Stefano Modena,Jordan-Yamaha,36,Transmission,17,
Ret,11,Mika Hakkinen,Lotus-Ford,35,Gear Box,10,
Ret,12,Johnny Herbert,Lotus-Ford,34,Clutch,6,
Ret,28,Ivan Capelli,Ferrari,18,Spun Off,9,
Ret,5,Nigel Mansell,Williams-Renault,14,Spun Off,3,
Ret,33,Mauricio Gugelmin,Jordan-Yamaha,14,Trasmission,24,
DSQ,29,Bertrand Gachot,Venturi-Lamborghini,14,Disqualifed,19,
Ret,15,Gabriele Tarquini,Fondmetal-Ford,0,Transmission,11,
DNQ,10,Aguri Suzuki,Footwork-Mugen-Honda,,,,
DNQ,7,Eric van de Poele,Brabham-Judd,,,,
DNQ,14,Andrea Chiesa,Fondmetal-Ford,,,,
DNQ,8,Damon Hill,Brabham-Judd,,,,
DNQ,34,Roberto Moreno,Moda Judd,,,,
