Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,5,Felipe Massa,Ferrari,58,1:26:42.161,1,10
2,6,Kimi Räikkönen,Ferrari,58,+2.2 secs,3,8
3,1,Fernando Alonso,McLaren-Mercedes,58,+26.1 secs,4,6
4,9,Nick Heidfeld,BMW,58,+39.6 secs,6,5
5,2,Lewis Hamilton,McLaren-Mercedes,58,+45.0 secs,2,4
6,4,Heikki Kovalainen,Renault,58,+46.1 secs,7,3
7,16,Nico Rosberg,Williams-Toyota,58,+55.7 secs,8,2
8,10,Robert Kubica,BMW,58,+56.7 secs,5,1
9,3,Giancarlo Fisichella,Renault,58,+59.4 secs,10,
10,14,David Coulthard,Red Bull-Renault,58,+71.0 secs,13,
11,17,Alexander Wurz,Williams-Toyota,58,+79.6 secs,14,
12,11,Ralf Schumacher,Toyota,57,+1 Lap,16,
13,7,Jenson Button,Honda,57,+1 Lap,21,
14,23,Anthony Davidson,Super Aguri-Honda,57,+1 Lap,11,
15,18,Vitantonio Liuzzi,STR-Ferrari,57,+1 Lap,15,
16,12,Jarno Trulli,Toyota,57,+1 Lap,9,
17,8,Rubens Barrichello,Honda,57,+1 Lap,22,
18,22,Takuma Sato,Super Aguri-Honda,57,+1 Lap,17,
19,19,Sebastian Vettel,STR-Ferrari,57,+1 Lap,18,
20,21,Sakon Yamamoto,Spyker-Ferrari,56,+2 Laps,20,
21,20,Adrian Sutil,Spyker-Ferrari,53,Fuel pressure,19,
Ret,15,Mark Webber,Red Bull-Renault,9,Hydraulics,12,
