Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,6,Kimi Räikkönen,Ferrari,44,1:20:39.066,1,10
2,5,Felipe Massa,Ferrari,44,+4.6 secs,2,8
3,1,Fernando Alonso,McLaren-Mercedes,44,+14.3 secs,3,6
4,2,Lewis Hamilton,McLaren-Mercedes,44,+23.6 secs,4,5
5,9,Nick Heidfeld,BMW,44,+51.8 secs,6,4
6,16,Nico Rosberg,Williams-Toyota,44,+76.8 secs,5,3
7,15,Mark Webber,Red Bull-Renault,44,+80.6 secs,7,2
8,4,Heikki Kovalainen,Renault,44,+85.1 secs,9,1
9,10,Robert Kubica,BMW,44,+85.6 secs,14,
10,11,Ralf Schumacher,Toyota,44,+88.5 secs,10,
11,12,Jarno Trulli,Toyota,44,+103.653 secs,8,
12,18,Vitantonio Liuzzi,STR-Ferrari,43,+1 Lap,13,
13,8,Rubens Barrichello,Honda,43,+1 Lap,17,
14,20,Adrian Sutil,Spyker-Ferrari,43,+1 Lap,19,
15,22,Takuma Sato,Super Aguri-Honda,43,+1 Lap,18,
16,23,Anthony Davidson,Super Aguri-Honda,43,+1 Lap,22,
17,21,Sakon Yamamoto,Spyker-Ferrari,43,+1 Lap,20,
Ret,7,Jenson Button,Honda,36,Hydraulics,12,
Ret,17,Alexander Wurz,Williams-Toyota,34,Fuel pressure,15,
Ret,14,David Coulthard,Red Bull-Renault,29,Hydraulics,11,
Ret,19,Sebastian Vettel,STR-Ferrari,8,Steering,16,
Ret,3,Giancarlo Fisichella,Renault,1,Suspension damage,21,
