Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,2,Lewis Hamilton,McLaren-Mercedes,73,1:31:09.965,1,10
2,1,Fernando Alonso,McLaren-Mercedes,73,+1.5 secs,2,8
3,5,Felipe Massa,Ferrari,73,+12.8 secs,3,6
4,6,Kimi Räikkönen,Ferrari,73,+15.4 secs,4,5
5,4,Heikki Kovalainen,Renault,73,+41.4 secs,6,4
6,12,Jarno Trulli,Toyota,73,+66.7 secs,8,3
7,15,Mark Webber,Red Bull-Renault,73,+67.3 secs,9,2
8,10,Sebastian Vettel,BMW,73,+67.7 secs,7,1
9,3,Giancarlo Fisichella,Renault,72,+1 Lap,10,
10,17,Alexander Wurz,Williams-Toyota,72,+1 Lap,17,
11,23,Anthony Davidson,Super Aguri-Honda,72,+1 Lap,16,
12,7,Jenson Button,Honda,72,+1 Lap,13,
13,19,Scott Speed,STR-Ferrari,71,+2 Laps,20,
14,20,Adrian Sutil,Spyker-Ferrari,71,+2 Laps,21,
15,21,Christijan Albers,Spyker-Ferrari,70,+3 Laps,22,
16,16,Nico Rosberg,Williams-Toyota,68,Engine,14,
17,18,Vitantonio Liuzzi,STR-Ferrari,68,Water pressure,19,
Ret,9,Nick Heidfeld,BMW,55,Hydraulics,5,
Ret,22,Takuma Sato,Super Aguri-Honda,13,Spin,18,
Ret,14,David Coulthard,Red Bull-Renault,0,Accident damage,11,
Ret,8,Rubens Barrichello,Honda,0,Accident damage,15,
Ret,11,Ralf Schumacher,Toyota,0,Accident,12,
