Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,1,Fernando Alonso,McLaren-Mercedes,60,2:06:26.358,2,10
2,5,Felipe Massa,Ferrari,60,+8.1 secs,3,8
3,15,Mark Webber,Red Bull-Renault,60,+65.6 secs,6,6
4,17,Alexander Wurz,Williams-Toyota,60,+65.9 secs,12,5
5,14,David Coulthard,Red Bull-Renault,60,+73.6 secs,20,4
6,9,Nick Heidfeld,BMW,60,+80.2 secs,4,3
7,10,Robert Kubica,BMW,60,+82.4 secs,5,2
8,4,Heikki Kovalainen,Renault,59,+1 Lap,7,1
9,2,Lewis Hamilton,McLaren-Mercedes,59,+1 Lap,10,
10,3,Giancarlo Fisichella,Renault,59,+1 Lap,13,
11,8,Rubens Barrichello,Honda,59,+1 Lap,14,
12,23,Anthony Davidson,Super Aguri-Honda,59,+1 Lap,15,
13,12,Jarno Trulli,Toyota,59,+1 Lap,8,
Ret,6,Kimi Räikkönen,Ferrari,34,Hydraulics,1,
Ret,22,Takuma Sato,Super Aguri-Honda,19,Hydraulics,16,
Ret,11,Ralf Schumacher,Toyota,18,Accident,9,
Ret,21,Markus Winkelhock,Spyker-Ferrari,13,Hydraulics,22,
Ret,7,Jenson Button,Honda,2,Spin,17,
Ret,20,Adrian Sutil,Spyker-Ferrari,2,Spin,21,
Ret,16,Nico Rosberg,Williams-Toyota,2,Spin,11,
Ret,19,Scott Speed,STR-Ferrari,2,Spin,18,
Ret,18,Vitantonio Liuzzi,STR-Ferrari,2,Spin,19,
