Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,6,Kimi Räikkönen,Ferrari,56,1:37:58.395,2,10
2,1,Fernando Alonso,McLaren-Mercedes,56,+9.8 secs,4,8
3,5,Felipe Massa,Ferrari,56,+12.8 secs,3,6
4,19,Sebastian Vettel,STR-Ferrari,56,+53.5 secs,17,5
5,7,Jenson Button,Honda,56,+68.6 secs,10,4
6,18,Vitantonio Liuzzi,STR-Ferrari,56,+73.6 secs,11,3
7,9,Nick Heidfeld,BMW,56,+74.2 secs,8,2
8,14,David Coulthard,Red Bull-Renault,56,+80.7 secs,5,1
9,4,Heikki Kovalainen,Renault,56,+81.1 secs,13,
10,15,Mark Webber,Red Bull-Renault,56,+84.6 secs,7,
11,3,Giancarlo Fisichella,Renault,56,+86.6 secs,18,
12,17,Alexander Wurz,Williams-Toyota,55,+1 Lap,19,
13,12,Jarno Trulli,Toyota,55,+1 Lap,12,
14,22,Takuma Sato,Super Aguri-Honda,55,+1 Lap,20,
15,8,Rubens Barrichello,Honda,55,+1 Lap,16,
16,16,Nico Rosberg,Williams-Toyota,54,+2 Laps,15,
17,21,Sakon Yamamoto,Spyker-Ferrari,53,+3 Laps,22,
Ret,10,Robert Kubica,BMW,33,Hydraulics,9,
Ret,2,Lewis Hamilton,McLaren-Mercedes,30,Spin,1,
Ret,11,Ralf Schumacher,Toyota,25,Spin,6,
Ret,20,Adrian Sutil,Spyker-Ferrari,24,Accident,21,
Ret,23,Anthony Davidson,Super Aguri-Honda,11,Brakes,14,
