Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,1,Fernando Alonso,McLaren-Mercedes,56,1:32:14.930,2,10
2,2,Lewis Hamilton,McLaren-Mercedes,56,+17.5 secs,4,8
3,6,Kimi Räikkönen,Ferrari,56,+18.3 secs,3,6
4,9,Nick Heidfeld,BMW,56,+33.7 secs,5,5
5,5,Felipe Massa,Ferrari,56,+36.7 secs,1,4
6,3,Giancarlo Fisichella,Renault,56,+65.6 secs,12,3
7,12,Jarno Trulli,Toyota,56,+70.1 secs,8,2
8,4,Heikki Kovalainen,Renault,56,+72.0 secs,11,1
9,17,Alexander Wurz,Williams-Toyota,56,+89.9 secs,19,
10,15,Mark Webber,Red Bull-Renault,56,+93.5 secs,10,
11,8,Rubens Barrichello,Honda,55,+1 Lap,22,
12,7,Jenson Button,Honda,55,+1 Lap,15,
13,22,Takuma Sato,Super Aguri-Honda,55,+1 Lap,14,
14,19,Scott Speed,STR-Ferrari,55,+1 Lap,17,
15,11,Ralf Schumacher,Toyota,55,+1 Lap,9,
16,23,Anthony Davidson,Super Aguri-Honda,55,+1 Lap,18,
17,18,Vitantonio Liuzzi,STR-Ferrari,55,+1 Lap,16,
18,10,Robert Kubica,BMW,55,+1 Lap,7,
Ret,16,Nico Rosberg,Williams-Toyota,42,+14 Laps,6,
Ret,14,David Coulthard,Red Bull-Renault,36,Brakes,13,
Ret,21,Christijan Albers,Spyker-Ferrari,7,Engine,20,
Ret,20,Adrian Sutil,Spyker-Ferrari,0,Accident,21,
