Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,18,Juan Manuel Fangio,Mercedes ,22,3:45'45.8,1,8
SHR,1,Jose Froilan  Gonzalez,Ferrari,22,+ 1'36.5,5,3
3,2,Maurice  Trintignant,Ferrari,22,+ 5'08.6,7,4
4,19,Karl Kling,Mercedes ,22,+ 6'06.5,20,4
5,7,Sergio Mantovani,Maserati ,22,+ 8'50.5,13,2
6,4,Piero  Taruffi,Ferrari,21,+ 1 Lap,11,
7,15,Harry Schell,Maserati ,21,+ 1 Lap,12,
8,25,Louis  Rosier,Ferrari,21,+ 1 Lap,16,
9,24,Robert  Manzon,Ferrari,20,+ 2 Laps,10,
10,9,Jean Behra,Gordini ,20,+ 2 Laps,8,
Ret,14,Prince Bira,Maserati ,17,Steering,17,
Ret,21,Hermann Lang,Mercedes ,10,Spun off,9,
Ret,11,Clemar Bucci,Gordini ,8,Wheel,14,
Ret,22,Theo Helfrich,Klenk-Meteor-BMW,8,Engine,19,
Ret,20,Hans  Herrmann,Mercedes ,7,Fuel leak,4,
Ret,10,Paul Frere,Gordini ,4,Wheel,6,
SHR,3,Mike Hawthorn,Ferrari,3,Transmission,2,3
Ret,8,Roberto Mieres,Maserati ,2,Fuel leak,15,
Ret,16,Stirling Moss,Maserati ,1,Wheel bearing,3,
Ret,12,Andre Pilette,Gordini ,0,Suspension,18,
