Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,26,Juan Manuel Fangio,Maserati ,36,2:44'42.4,1,9
2,8,Maurice  Trintignant,Ferrari,36,+ 24.2,6,6
3,22,Stirling Moss,Maserati ,35,+ 1 Lap,9,4
SHR,10,Mike Hawthorn,Ferrari,35,+ 1 Lap,5,1.5
5,18,Andre Pilette,Gordini ,35,+ 1 Lap,8,2
6,20,Prince Bira,Maserati ,35,+ 1 Lap,13,
7,30,Sergio Mantovani,Maserati ,34,+ 2 Laps,11,
Ret,4,Nino Farina,Ferrari,14,Ignition,3,
Ret,16,Paul Frere,Gordini ,14,Engine,10,
Ret,12,Jean Behra,Gordini ,12,Suspension,7,
Ret,28,Onofre Marimon,Maserati ,3,Engine,4,
Ret,6,Jose Froilan  Gonzalez,Ferrari,1,Engine,2,
Ret,2,Jacques Swaters,Ferrari,1,Engine,14,
Ret,24,Roberto Mieres,Maserati ,0,Fire,12,
