Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,11,Richie Ginther,Honda,65,2:08'32.10,3,9
2,8,Dan Gurney,Brabham-Climax,65,+ 2.89,2,6
3,6,Mike Spence,Lotus-Climax,65,+ 1'00.15,6,4
4,16,Jo Siffert,Brabham-BRM,65,+ 1'54.42,11,3
5,12,Ronnie Bucknum,Honda,64,+ 1 Lap,10,2
6,21,Richard Attwood,Lotus-BRM,64,+ 1 Lap,17,1
7,14,Pedro Rodriguez,Ferrari,62,+ 3 Laps,14,
8,2,Lorenzo Bandini,Ferrari,62,+ 3 Laps,7,
Ret,3,Graham Hill,BRM ,56,Engine,5,
Ret,18,Moises Solana,Lotus-Climax,55,Ignition,9,
Ret,15,Jo Bonnier,Brabham-Climax,43,Suspension,12,
Ret,10,Jochen Rindt,Cooper-Climax ,39,Ignition,16,
Ret,7,Jack Brabham,Brabham-Climax,38,Oil leak,14,
Ret,4,Jackie Stewart,BRM ,35,Clutch,8,
Ret,22,Bob Bondurant,Lotus-BRM,29,Suspension,18,
Ret,9,Bruce McLaren,Cooper-Climax ,25,Gearbox,15,
Ret,5,Jim Clark,Lotus-Climax,8,Engine,1,
