Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,32,Jackie Stewart,BRM ,76,2:04'52.8,3,9
2,30,Graham Hill,BRM ,76,+ 3.3,4,6
3,12,Dan Gurney,Brabham-Climax,76,+ 16.5,9,4
4,4,Lorenzo Bandini,Ferrari,76,+ 75.9,5,3
5,16,Bruce McLaren,Cooper-Climax ,75,+ 1 Lap,11,2
6,40,Richard Attwood,Lotus-BRM,75,+ 1 Lap,13,1
7,42,Jo Bonnier,Brabham-Climax,74,+ 2 Laps,14,
8,18,Jochen Rindt,Cooper-Climax ,74,+ 2 Laps,7,
9,38,Innes Ireland,Lotus-BRM,74,+ 2 Laps,18,
10,24,Jim Clark,Lotus-Climax,63,Fuel pump,1,
11,26,Mike Spence,Lotus-Climax,62,Alternator,8,
12,6,Nino Vaccarella,Ferrari,58,Engine,15,
13,50,Roberto Bussinello,BRM ,58,Oil pressure,21,
14,20,Richie Ginther,Honda,56,Ignition,17,
Ret,14,Denny Hulme,Brabham-Climax,46,Suspension,12,
Ret,46,Frank Gardner,Brabham-BRM,45,Engine,16,
Ret,44,Jo Siffert,Brabham-BRM,43,Gearbox,10,
Ret,28,Giacomo Russo,Lotus-Climax,37,Gearbox,20,
Ret,8,John Surtees,Ferrari,34,Clutch,2,
Ret,22,Ronnie Bucknum,Honda,27,Ignition,6,
Ret,48,Masten Gregory,BRM ,22,Gearbox,23,
Ret,10,Giancarlo Baghetti,Brabham-Climax,12,Engine,19,
Ret,52,Giorgio Bassi,BRM ,8,Engine,22,
