Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,2,Lewis Hamilton,McLaren-Mercedes,44,1:29:04.268,2,25
2,6,Mark Webber,RBR-Renault,44,+1.5 secs,1,18
3,11,Robert Kubica,Renault,44,+3.4 secs,3,15
4,7,Felipe Massa,Ferrari,44,+8.2 secs,6,12
5,14,Adrian Sutil,Force India-Mercedes,44,+9.0 secs,8,10
6,4,Nico Rosberg,Mercedes GP,44,+12.3 secs,14,8
7,3,Michael Schumacher,Mercedes GP,44,+15.5 secs,21,6
8,23,Kamui Kobayashi,BMW Sauber-Ferrari,44,+16.6 secs,17,4
9,12,Vitaly Petrov,Renault,44,+23.8 secs,23,2
10,15,Vitantonio Liuzzi,Force India-Mercedes,44,+34.8 secs,12,1
11,22,Pedro de la Rosa,BMW Sauber-Ferrari,44,+36.0 secs,24,
12,16,Sebastien Buemi,STR-Ferrari,44,+39.8 secs,16,
13,17,Jaime Alguersuari,STR-Ferrari,44,+49.4 secs,11,
14,10,Nico Hulkenberg,Williams-Cosworth,43,+1 Lap,9,
15,5,Sebastian Vettel,RBR-Renault,43,+1 Lap,4,
16,19,Heikki Kovalainen,Lotus-Cosworth,43,+1 Lap,13,
17,25,Lucas di Grassi,Virgin-Cosworth,43,+1 Lap,22,
18,24,Timo Glock,Virgin-Cosworth,43,+1 Lap,20,
19,18,Jarno Trulli,Lotus-Cosworth,43,+1 Lap,15,
20,20,Sakon Yamamoto,HRT-Cosworth,42,+2 Laps,19,
Ret,8,Fernando Alonso,Ferrari,37,Accident,10,
Ret,1,Jenson Button,McLaren-Mercedes,15,Accident,5,
Ret,21,Bruno Senna,HRT-Cosworth,5,Suspension,18,
Ret,9,Rubens Barrichello,Williams-Cosworth,0,Accident,7,
