Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,2,Lewis Hamilton,McLaren-Mercedes,58,1:28:47.620,2,25
2,1,Jenson Button,McLaren-Mercedes,58,+2.6 secs,4,18
3,6,Mark Webber,RBR-Renault,58,+24.2 secs,1,15
4,3,Michael Schumacher,Mercedes GP,58,+31.1 secs,5,12
5,4,Nico Rosberg,Mercedes GP,58,+32.2 secs,6,10
6,11,Robert Kubica,Renault,58,+32.8 secs,7,8
7,7,Felipe Massa,Ferrari,58,+36.6 secs,8,6
8,8,Fernando Alonso,Ferrari,58,+46.5 secs,12,4
9,14,Adrian Sutil,Force India-Mercedes,58,+49.0 secs,11,2
10,23,Kamui Kobayashi,BMW Sauber-Ferrari,58,+65.6 secs,10,1
11,22,Pedro de la Rosa,BMW Sauber-Ferrari,58,+65.9 secs,13,
12,17,Jaime Alguersuari,STR-Ferrari,58,+67.8 secs,16,
13,15,Vitantonio Liuzzi,Force India-Mercedes,57,+1 Lap,18,
14,9,Rubens Barrichello,Williams-Cosworth,57,+1 Lap,15,
15,12,Vitaly Petrov,Renault,57,+1 Lap,9,
16,16,Sebastien Buemi,STR-Ferrari,57,+1 Lap,14,
17,10,Nico Hulkenberg,Williams-Cosworth,57,+1 Lap,17,
18,24,Timo Glock,Virgin-Cosworth,55,+3 Laps,21,
19,25,Lucas di Grassi,Virgin-Cosworth,55,+3 Laps,23,
20,20,Karun Chandhok,HRT-Cosworth,52,Fuel pump,24,
Ret,21,Bruno Senna,HRT-Cosworth,46,Fuel pressure,22,
Ret,5,Sebastian Vettel,RBR-Renault,39,Accident,3,
Ret,19,Heikki Kovalainen,Lotus-Cosworth,33,Hydraulics,20,
Ret,18,Jarno Trulli,Lotus-Cosworth,32,Hydraulics,19,
