Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,1,Mika Hakkinen,McLaren-Mercedes,44,1:28'14.494,1,10
2,3,Michael Schumacher,Ferrari,44,+1.104,4,6
3,9,Ralf Schumacher,Williams-BMW,44,+38.096,6,4
4,2,David Coulthard,McLaren-Mercedes,44,+43.281,5,3
5,10,Jenson Button,Williams-BMW,44,+49.914,3,2
6,5,Heinz-Harald Frentzen,Jordan-Mugen-Honda,44,+55.984,8,1
7,22,Jacques Villeneuve,BAR-Honda,44,+1'12.380,7,
8,8,Johnny Herbert,Jaguar-Cosworth,44,+1'27.808,9,
9,17,Mika Salo,Sauber-Petronas,44,+1'28.670,18,
10,7,Eddie Irvine,Jaguar-Cosworth,44,+1'31.555,12,
11,16,Pedro Diniz,Sauber-Petronas,44,+1'34.123,15,
12,23,Ricardo Zonta,BAR-Honda,43,+1 Lap,13,
13,12,Alexander Wurz,Benetton-Playlife,43,+1 Lap,19,
14,20,Marc Gene,Minardi-Fondmetal,43,+1 Lap,21,
15,19,Jos Verstappen,Arrows-Supertec,43,+1 Lap,20,
16,18,Pedro de la Rosa,Arrows-Supertec,42,+2 Laps,16,
17,21,Gaston Mazzacane,Minardi-Fondmetal,42,+2 Laps,22,
Ret,4,Rubens Barrichello,Ferrari,32,Fuel Pressure,10,
Ret,14,Jean Alesi,Prost-Peugeot,32,Fuel Pressure,17,
Ret,15,Nick Heidfeld,Prost-Peugeot,12,Engine,14,
Ret,11,Giancarlo Fisichella,Benetton-Playlife,8,Electrical,11,
Ret,6,Jarno Trulli,Jordan-Mugen-Honda,4,Collision,2,
