Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,3,Michael Schumacher,Ferrari,56,1:35'54.235,1,10
2,2,David Coulthard,McLaren-Mercedes,56,+0.732,3,6
3,4,Rubens Barrichello,Ferrari,56,+18.444,4,4
4,1,Mika Hakkinen,McLaren-Mercedes,56,+35.269,2,3
5,22,Jacques Villeneuve,BAR-Honda,56,+1'10.692,6,2
6,7,Eddie Irvine,Jaguar-Cosworth,56,+1'12.568,7,1
7,12,Alexander Wurz,Benetton-Playlife,56,+1'29.314,5,
8,17,Mika Salo,Sauber-Petronas,55,+1 Lap,17,
9,11,Giancarlo Fisichella,Benetton-Playlife,55,+1 Lap,13,
10,19,Jos Verstappen,Arrows-Supertec,55,+1 Lap,15,
11,14,Jean Alesi,Prost-Peugeot,55,+1 Lap,18,
12,6,Jarno Trulli,Jordan-Mugen-Honda,55,+1 Lap,9,
13,21,Gaston Mazzacane,Minardi-Fondmetal,50,Engine,22,
Ret,8,Johnny Herbert,Jaguar-Cosworth,48,Suspension,12,
Ret,23,Ricardo Zonta,BAR-Honda,46,Engine,11,
Ret,9,Ralf Schumacher,Williams-BMW,43,Engine,8,
Ret,20,Marc Gene,Minardi-Fondmetal,36,Wheel,21,
Ret,10,Jenson Button,Williams-BMW,18,Engine,16,
Ret,5,Heinz-Harald Frentzen,Jordan-Mugen-Honda,7,Electrical,10,
Ret,18,Pedro de la Rosa,Arrows-Supertec,0,Collision,14,
Ret,15,Nick Heidfeld,Prost-Peugeot,0,Collision,19,
Ret,16,Pedro Diniz,Sauber-Petronas,0,Collision,20,
