Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,1,Mika Hakkinen,McLaren-Mercedes,71,1:28'15.818,1,10
2,2,David Coulthard,McLaren-Mercedes,71,+12.535,2,6
3,4,Rubens Barrichello,Ferrari,71,+30.795,3,4
4,22,Jacques Villeneuve,BAR-Honda,70,+1 Lap,7,3
5,10,Jenson Button,Williams-BMW,70,+1 Lap,18,2
6,17,Mika Salo,Sauber-Petronas,70,+1 Lap,9,1
7,8,Johnny Herbert,Jaguar-Cosworth,70,+1 Lap,16,
8,20,Marc Gene,Minardi-Fondmetal,70,+1 Lap,20,
9,16,Pedro Diniz,Sauber-Petronas,70,+1 Lap,11,
10,12,Alexander Wurz,Benetton-Playlife,70,+1 Lap,14,
11,7,Luciano Burti,Jaguar-Cosworth,69,+2 Laps,21,
12,21,Gaston Mazzacane,Minardi-Fondmetal,68,+3 Laps,22,
Ret,23,Ricardo Zonta,BAR-Honda,58,Engine,6,
Ret,9,Ralf Schumacher,Williams-BMW,52,Brakes,19,
Ret,15,Nick Heidfeld,Prost-Peugeot,41,Collision,13,
Ret,14,Jean Alesi,Prost-Peugeot,41,Collision,17,
Ret,18,Pedro de la Rosa,Arrows-Supertec,32,Gearbox,12,
Ret,19,Jos Verstappen,Arrows-Supertec,14,Engine,10,
Ret,5,Heinz-Harald Frentzen,Jordan-Mugen-Honda,4,Oil Leak,15,
Ret,3,Michael Schumacher,Ferrari,0,Collision,4,
Ret,6,Jarno Trulli,Jordan-Mugen-Honda,0,Collision,5,
Ret,11,Giancarlo Fisichella,Benetton-Playlife,0,Collision,8,
