Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,2,David Coulthard,McLaren-Mercedes,78,1:49'28.213,3,10
2,4,Rubens Barrichello,Ferrari,78,+15.889,6,6
3,11,Giancarlo Fisichella,Benetton-Playlife,78,+18.522,8,4
4,7,Eddie Irvine,Jaguar-Cosworth,78,+1'05.924,10,3
5,17,Mika Salo,Sauber-Petronas,78,+1'20.775,13,2
6,1,Mika Hakkinen,McLaren-Mercedes,77,+1 Lap,5,1
7,22,Jacques Villeneuve,BAR-Honda,77,+1 Lap,17,
8,15,Nick Heidfeld,Prost-Peugeot,77,+1 Lap,18,
9,8,Johnny Herbert,Jaguar-Cosworth,76,+2 Laps,11,
10,5,Heinz-Harald Frentzen,Jordan-Mugen-Honda,70,Spun off,4,
Ret,19,Jos Verstappen,Arrows-Supertec,60,Spun off,15,
Ret,3,Michael Schumacher,Ferrari,55,Suspension,1,
Ret,23,Ricardo Zonta,BAR-Honda,48,Spun off,20,
Ret,9,Ralf Schumacher,Williams-BMW,37,Spun off,9,
Ret,6,Jarno Trulli,Jordan-Mugen-Honda,36,Gearbox,2,
Ret,16,Pedro Diniz,Sauber-Petronas,30,Spun off,19,
Ret,14,Jean Alesi,Prost-Peugeot,29,Transmission,7,
Ret,21,Gaston Mazzacane,Minardi-Fondmetal,22,Spun off,22,
Ret,20,Marc Gene,Minardi-Fondmetal,21,Gearbox,21,
Ret,12,Alexander Wurz,Benetton-Playlife,18,Spun off,12,
Ret,10,Jenson Button,Williams-BMW,16,Engine,14,
DNS,18,Pedro de la Rosa,Arrows-Supertec,0,,16,
