Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,3,Michael Schumacher,Ferrari,67,1:42'00.307,2,10
2,1,Mika Hakkinen,McLaren-Mercedes,67,+13.822,3,6
3,2,David Coulthard,McLaren-Mercedes,66,+1 Lap,1,4
4,4,Rubens Barrichello,Ferrari,66,+1 Lap,4,3
5,11,Giancarlo Fisichella,Benetton-Playlife,66,+1 Lap,7,2
6,18,Pedro de la Rosa,Arrows-Supertec,66,+1 Lap,12,1
7,16,Pedro Diniz,Sauber-Petronas,65,+2 Laps,15,
8,21,Gaston Mazzacane,Minardi-Fondmetal,65,+2 Laps,21,
9,14,Jean Alesi,Prost-Peugeot,65,+2 Laps,17,
10,10,Jenson Button,Williams-BMW,62,Electrical,11,
11,8,Johnny Herbert,Jaguar-Cosworth,61,Collision,16,
12,12,Alexander Wurz,Benetton-Playlife,61,Collision,14,
Ret,23,Ricardo Zonta,BAR-Honda,51,Spun off,18,
Ret,20,Marc Gene,Minardi-Fondmetal,47,Throttle,20,
Ret,22,Jacques Villeneuve,BAR-Honda,46,Engine,9,
Ret,7,Eddie Irvine,Jaguar-Cosworth,29,Collision,8,
Ret,19,Jos Verstappen,Arrows-Supertec,29,Spun off,13,
Ret,9,Ralf Schumacher,Williams-BMW,29,Collision,5,
Ret,17,Mika Salo,Sauber-Petronas,27,Halfshaft,19,
Ret,5,Heinz-Harald Frentzen,Jordan-Mugen-Honda,2,Engine,10,
Ret,6,Jarno Trulli,Jordan-Mugen-Honda,0,Collision,6,
DSQ,15,Nick Heidfeld,Prost-Peugeot,0,Disqualified,0,
