Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,3,Michael Schumacher,Ferrari,73,1:36'30.883,1,10
2,4,Rubens Barrichello,Ferrari,73,+12.118,4,6
3,5,Heinz-Harald Frentzen,Jordan-Mugen-Honda,73,+17.368,7,4
4,22,Jacques Villeneuve,BAR-Honda,73,+17.936,8,3
5,2,David Coulthard,McLaren-Mercedes,73,+28.813,2,2
6,23,Ricardo Zonta,BAR-Honda,73,+51.694,12,1
7,7,Eddie Irvine,Jaguar-Cosworth,73,+1'11.115,17,
8,16,Pedro Diniz,Sauber-Petronas,72,+1 Lap,9,
9,15,Nick Heidfeld,Prost-Peugeot,72,+1 Lap,16,
10,12,Alexander Wurz,Benetton-Playlife,72,+1 Lap,11,
11,8,Johnny Herbert,Jaguar-Cosworth,72,+1 Lap,19,
12,20,Marc Gene,Minardi-Fondmetal,72,+1 Lap,22,
Ret,14,Jean Alesi,Prost-Peugeot,64,Engine,20,
Ret,21,Gaston Mazzacane,Minardi-Fondmetal,59,Engine,21,
Ret,9,Ralf Schumacher,Williams-BMW,58,Engine,10,
Ret,18,Pedro de la Rosa,Arrows-Supertec,45,Gearbox,18,
Ret,11,Giancarlo Fisichella,Benetton-Playlife,44,Engine,15,
Ret,19,Jos Verstappen,Arrows-Supertec,34,Brakes,13,
Ret,1,Mika Hakkinen,McLaren-Mercedes,25,Engine,3,
Ret,17,Mika Salo,Sauber-Petronas,18,Spun off,14,
Ret,10,Jenson Button,Williams-BMW,14,Engine,6,
Ret,6,Jarno Trulli,Jordan-Mugen-Honda,12,Collision,5,
