Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,3,Michael Schumacher,Ferrari,71,1:31'35.271,3,10
2,11,Giancarlo Fisichella,Benetton-Playlife,71,+39.898,5,6
3,5,Heinz-Harald Frentzen,Jordan-Mugen-Honda,71,+42.268,7,4
4,6,Jarno Trulli,Jordan-Mugen-Honda,71,+1'12.780,12,3
5,9,Ralf Schumacher,Williams-BMW,70,+1 Lap,11,2
6,10,Jenson Button,Williams-BMW,70,+1 Lap,9,1
7,19,Jos Verstappen,Arrows-Supertec,70,+1 Lap,14,
8,18,Pedro de la Rosa,Arrows-Supertec,70,+1 Lap,16,
9,23,Ricardo Zonta,BAR-Honda,69,+2 Laps,8,
10,21,Gaston Mazzacane,Minardi-Fondmetal,69,+2 Laps,20,
DSQ,2,David Coulthard,McLaren-Mercedes,71,Disqualified,2,
Ret,8,Johnny Herbert,Jaguar-Cosworth,51,Gearbox,17,
Ret,20,Marc Gene,Minardi-Fondmetal,31,Engine,18,
Ret,1,Mika Hakkinen,McLaren-Mercedes,30,Oil Pressure,1,
Ret,4,Rubens Barrichello,Ferrari,27,Hydraulics,4,
Ret,7,Eddie Irvine,Jaguar-Cosworth,20,Spun off,6,
Ret,22,Jacques Villeneuve,BAR-Honda,16,Gearbox,10,
Ret,14,Jean Alesi,Prost-Peugeot,11,Electrical,15,
Ret,15,Nick Heidfeld,Prost-Peugeot,9,Engine,19,
Ret,12,Alexander Wurz,Benetton-Playlife,6,Engine,13,
WD,16,Pedro Diniz,Sauber-Petronas,0,Safety Concerns,0,
WD,17,Mika Salo,Sauber-Petronas,0,Safety Concerns,0,
