Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,3,Michael Schumacher,Ferrari,53,1:27'31.638,1,10
2,1,Mika Hakkinen,McLaren-Mercedes,53,+3.810,3,6
3,9,Ralf Schumacher,Williams-BMW,53,+52.432,7,4
4,19,Jos Verstappen,Arrows-Supertec,53,+59.938,11,3
5,12,Alexander Wurz,Benetton-Playlife,53,+1'07.426,13,2
6,23,Ricardo Zonta,BAR-Honda,53,+1'09.293,17,1
7,17,Mika Salo,Sauber-Petronas,52,+1 Lap,15,
8,16,Pedro Diniz,Sauber-Petronas,52,+1 Lap,16,
9,20,Marc Gene,Minardi-Fondmetal,52,+1 Lap,21,
10,21,Gaston Mazzacane,Minardi-Fondmetal,52,+1 Lap,22,
11,11,Giancarlo Fisichella,Benetton-Playlife,52,+1 Lap,9,
12,14,Jean Alesi,Prost-Peugeot,51,+2 Laps,19,
Ret,15,Nick Heidfeld,Prost-Peugeot,15,Spun off,20,
Ret,22,Jacques Villeneuve,BAR-Honda,14,Electrical,4,
Ret,10,Jenson Button,Williams-BMW,10,Spun off,12,
Ret,8,Johnny Herbert,Jaguar-Cosworth,1,Spun off,18,
Ret,4,Rubens Barrichello,Ferrari,0,Collision,2,
Ret,2,David Coulthard,McLaren-Mercedes,0,Collision,5,
Ret,6,Jarno Trulli,Jordan-Mugen-Honda,0,Collision,6,
Ret,5,Heinz-Harald Frentzen,Jordan-Mugen-Honda,0,Collision,8,
Ret,18,Pedro de la Rosa,Arrows-Supertec,0,Collision,10,
Ret,7,Eddie Irvine,Jaguar-Cosworth,0,Spun off,14,
