Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,12,Niki Lauda,Ferrari ,59,1:42'58.175,1,9
2,1,Emerson Fittipaldi,McLaren-Ford,59,+ 4.943,2,6
3,2,Jochen Mass,McLaren-Ford,59,+ 47.637,9,4
4,24,James Hunt,Hesketh-Ford,59,+ 49.475,15,3
5,5,Ronnie Peterson,Lotus-Ford,59,+ 49.986,14,2
6,3,Jody Scheckter,Tyrrell-Ford,59,+ 50.321,10,1
7,9,Vittorio Brambilla,March-Ford,59,+ 1'44.031,6,
8,10,Hans Joachim Stuck,March-Ford,58,+ 1 Lap,13,
9,28,John Watson,Penske-Ford,57,+ 2 Laps,12,
10,30,Wilson Fittipaldi,Fittipaldi-Ford,55,+ 4 Laps,23,
NC,16,Tom Pryce,Shadow-Ford,52,+ 7 Laps,7,
NC,6,Brian Henton,Lotus-Ford,49,+ 10 Laps,19,
Ret,25,Brett Lunger,Hesketh-Ford,46,Accident,18,
Ret,31,Roelof   Wunderink,Ensign-Ford,41,Gear Box,22,
WD,11,Clay Regazzoni,Ferrari ,28,Withdrew,11,
Ret,17,Jean Pierre Jarier,Shadow-Ford,19,Wheel Bearing,4,
Ret,7,Carlos Reutemann,Brabham-Ford,9,Engine,3,
Ret,27,Mario Andretti,Parnelli-Ford,9,Suspension,5,
Ret,23,Tony Brise,Hill-Ford,5,Accident,17,
Ret,15,Michel Leclere,Tyrrell-Ford,5,Engine,20,
Ret,4,Patrick Depailler,Tyrrell-Ford,2,Accident,8,
Ret,8,Carlos Pace,Brabham-Ford,2,Accident,16,
Ret,21,Jacques Laffite,Williams-Ford,0,Physical,21,
Ret,20,Lella Lombardi,Williams-Ford,0,Ignition,24,
